text,gold_labels,generated
"In one patient the vasculitis resolved after termination of the ciprofloxacin therapy; in the other patient the ciprofloxacin-induced hemorrhagic vasculitis was superimposed on a severe forefoot infection, leading to progressive gangrene and a below-knee amputation.","[['ciprofloxacin', 'below-knee amputation'], ['ciprofloxacin', 'hemorrhagic vasculitis'], ['ciprofloxacin', 'progressive gangrene'], ['ciprofloxacin', 'severe forefoot infection'], ['ciprofloxacin', 'vasculitis']]","[['ciprofloxacin', 'hemorrhagic vasculitis'], ['ciprofloxacin', 'progressive gangrene'], ['ciprofloxacin', 'below-knee amputation']]"
OBJECTIVE: To report the first five cases of amphotericin B overdose with secondary cardiac complications in a pediatric population.,"[['amphotericin B', 'cardiac complications']]","[['amphotericin B', 'cardiac complications'], ['amphotericin B', 'amphotericin B overdose']]"
Paradoxical ventricular tachycardia and fibrillation after intravenous bretylium therapy.,"[['bretylium', 'fibrillation'], ['bretylium', 'Paradoxical ventricular tachycardia']]","[['bretylium', 'Filmilation'], ['bretylium', 'Paradoxical ventricular tachycardia']]"
These case reports provide evidence that 5-aminosalicylic acid may induce acute pancreatitis after long term treatment.,"[['5-aminosalicylic acid', 'acute pancreatitis']]","[['5-aminosalicylic acid', 'acute pancreatitis']]"
Withdrawal of Depakote resulted in resolution of the effusion.,"[['Depakote', 'effusion']]","[['Depakote', 'effusion']]"
"CONCLUSION: The chronic use of HCQ for rheumatic diseases, or as an anti-malarial drug, should be balanced against the risk of developing potentially lethal cardiac arrhythmias.","[['HCQ', 'cardiac arrhythmias']]","[['HCQ', 'cardiac arrhythmias']]"
CASE: We report a case of a woman with severe human insulin-induced lipoatrophy who has been treated exclusively with recombinant DNA human insulin since the onset of IDDM.,"[['human insulin', 'lipoatrophy'], ['recombinant DNA human insulin', 'lipoatrophy']]","[['human insulin', 'lipoatrophy']]"
"Twenty-four hours after the administration of gemcitabine, a symmetric, bullous, herpetiform eruption appeared on his trunk and upper limbs.","[['gemcitabine', 'symmetric, bullous, herpetiform eruption']]","[['gemcitabine','symmetric, bullous, herpetiform eruption']]"
"The latter form (Macrodantin) is reported to engender less gastrointestinal intolerance but it can produce the same adverse effects as the conventional form--liver damage, acute and chronic pulmonary reactions, peripheral neuropathy, blood dyscrasias and allergic reactions--and does so just as rapidly and floridly; one such case is reported here.","[['Macrodantin', 'acute and chronic pulmonary reactions'], ['Macrodantin', 'allergic reactions'], ['Macrodantin', 'blood dyscrasias'], ['Macrodantin', 'liver damage'], ['Macrodantin', 'peripheral neuropathy']]","[['Macrodantin', 'acute and chronic pulmonary reactions'], ['Macrodantin', 'acute and chronic pulmonary reactions'], ['Macrodantin', 'peripheral neuropathy'], ['Macrodantin', 'peripheral neuropathy'], ['Macrodantin', 'allergic reactions'], ['Macrodantin', 'allergic reactions'], ['Macrodantin', 'blood dyscrasias'], ['Macrodantin', 'blood dyscrasias'], ['Macrodantin', 'blood dyscrasias'], ['Macrodantin', 'blood dyscrasias'], ['Macrodantin', 'blood dyscrasias'], ['Macrodantin', 'blood dyscrasias'], ['Macrodantin', 'blood dyscrasias'], ['Macrodantin', 'liver damage'], ['Macrodantin', '"
"In this paper, we report a case of severe hypercalcemia of immobilization in a 40-year-old hemodialyzed woman treated by cinacalcet HCl for a severe HPTH-II (PTH>1,000 pg/mL).","[['cinacalcet HCl', 'severe hypercalcemia']]","[['cinacalcet HCl','severe hypercalcemia of immobilization']]"
Two of the five patients who worsened motorically also developed encephalopathy during risperidone treatment; the encephalopathy resolved when the patients were switched to clozapine treatment.,"[['risperidone', 'encephalopathy'], ['risperidone', 'worsened motorically']]","[['risperidone', 'encephalopathy']]"
"However, a recent post-marketing survey in Japan revealed that interstitial pneumonia occurred in 4 among approximately 2 000 Japanese patients treated with sorafenib.","[['sorafenib', 'interstitial pneumonia']]","[['sorafenib', 'interstitial pneumonia']]"
The development of an IgG lambda-type monoclonal gammopathy and subsequent multiple myeloma in an epilepsy patient on diphenylhydantoin (DILANTIN) therapy for 20 years is reported.,"[['DILANTIN', 'IgG lambda-type monoclonal gammopathy'], ['diphenylhydantoin', 'IgG lambda-type monoclonal gammopathy'], ['DILANTIN', 'multiple myeloma'], ['diphenylhydantoin', 'multiple myeloma']]","[['diphenylhydantoin', 'IgG lambda-type monoclonal gammopathy'], ['DILANTIN', 'IgG lambda-type monoclonal gammopathy'], ['diphenylhydantoin','multiple myeloma']]"
Severe acidosis in patients taking metformin--rapid reversal and survival despite high APACHE score.,"[['metformin', 'Severe acidosis']]","[['metformin', 'Severe acidosis']]"
Asterixis induced by carbamazepine therapy.,"[['carbamazepine', 'Asterixis']]","[['carbamazepine', 'Asterixis']]"
"A unique case of a transient, nonpigmenting fixed drug eruption caused by the radiopaque contrast medium iothalamate is reported.","[['iothalamate', 'fixed drug eruption']]","[['iothalamate', 'fixed drug eruption']]"
Symptomatic hypoglycemia secondary to a glipizide-trimethoprim/sulfamethoxazole drug interaction.,"[['glipizide', 'Symptomatic hypoglycemia'], ['sulfamethoxazole', 'Symptomatic hypoglycemia'], ['trimethoprim', 'Symptomatic hypoglycemia']]","[['glipizide', 'Symptomatic hypoglycemia'], ['trimethoprim', 'Symptomatic hypoglycemia'], ['sulfamethoxazole', 'Symptomatic hypoglycemia']]"
Nonspecific but significant abnormalities have been described in the infants of women treated with disulfiram in the first trimester of their pregnancies.,"[['disulfiram', 'significant abnormalities']]","[['disulfiram', 'abnormalities']]"
We describe two cases of PSVT that changed to non-sustained polymorphic ventricular tachycardia after administration of verapamil.,"[['verapamil', 'non-sustained polymorphic ventricular tachycardia']]","[['verapamil', 'PSVT'], ['verapamil', 'non-sustained polymorphic ventricular tachycardia']]"
Severe rhabdomyolysis following massive ingestion of oolong tea: caffeine intoxication with coexisting hyponatremia.,"[['caffeine', 'caffeine intoxication'], ['oolong tea', 'caffeine intoxication'], ['caffeine', 'rhabdomyolysis'], ['oolong tea', 'rhabdomyolysis']]","[['caffeine', 'caffeine intoxication'], ['oolong tea', 'caffeine intoxication'], ['oolong tea', 'hyponatremia'], ['caffeine','severe rhabdomyolysis']]"
"Thalidomide neuropathy is often associated with proximal weakness and may progress even after discontinuation of treatment, in the phenomenon of 'coasting'.","[['Thalidomide', 'neuropathy'], ['Thalidomide', 'proximal weakness']]","[['Thalidomide', 'neuropathy'], ['Thalidomide', 'proximal weakness']]"
RESULTS: All cases developed corneal endothelial deposits after previous use of rifabutin.,"[['rifabutin', 'corneal endothelial deposits']]","[['rifabutin', 'corneal endothelial deposits']]"
Clozapine-induced eosinophilia and switch to quetiapine in a patient with chronic schizophrenia with suicidal tendencies.,"[['Clozapine', 'eosinophilia']]","[['Clozapine', 'eosinophilia']]"
Renal toxicities have been reported in less than one percent of the patients receiving ciprofloxacin therapy.,"[['ciprofloxacin', 'Renal toxicities']]","[['ciprofloxacin', 'Renal toxicities']]"
Hemodialysis should be performed for rapid reversal of mannitol-induced ARF.,"[['mannitol', 'ARF']]","[['mannitol', 'ARF']]"
"We describe two ELBW infants affected by hyperkalaemia, treated with Kayexalate, who developed serious hypernatraemia, that has never been reported before in preterm infants.","[['Kayexalate', 'hypernatraemia']]","[['Kaexalate', 'hypernatraemia'], ['Kaexalate', 'hyperkalaemia']]"
This case report illustrates the neurotoxicity unique to HDARAC.,"[['HDARAC', 'neurotoxicity']]","[['HDARAC', 'neurotoxicity']]"
"After a six-week course of low-dose cyclosporine A, she developed a severe but reversible loss of glomerular filtration rate and effective renal plasma flow despite of low cyclosporine A plasma levels.","[['cyclosporine A', 'effective renal plasma flow'], ['cyclosporine A', 'loss of glomerular filtration rate']]","[['cyclosporine A','severe but reversible loss of glomerular filtration rate']]"
A 35-year-old woman presented with neurotoxicity correlated to an i.v. regimen of 5-fluorouracil as episodes of acute confusional state and abnormalities of symmetrically restricted diffusion in the periventricular white matter and corpus callosum.,"[['5-fluorouracil', 'acute confusional state'], ['5-fluorouracil', 'neurotoxicity']]","[['5-fluorouracil', 'acute confusional state'], ['5-fluorouracil', 'neurotoxicity'], ['5-fluorouracil', 'abnormalities of symmetrically restricted diffusion in the periventricular white matter and corpus callosum']]"
Acute myocardial infarction during high-dose methylprednisolone therapy for Graves' ophthalmopathy.,"[['methylprednisolone', 'Acute myocardial infarction']]","[['methylprednisolone', 'Acute myocardial infarction']]"
Disseminated intravascular coagulation associated with acute hemoglobinemia or hemoglobinuria following Rh(0)(D) immune globulin intravenous administration for immune thrombocytopenic purpura.,"[['Rh(0)(D) immune globulin', 'acute hemoglobinemia'], ['Rh(0)(D) immune globulin', 'Disseminated intravascular coagulation'], ['Rh(0)(D) immune globulin', 'hemoglobinuria']]","[['Rh(0)(D) immune globulin', 'acute hemoglobinemia'], ['Rh(0)(D) immune globulin', 'hemoglobinuria'], ['Rh(0)(D) immune globulin', 'Disseminated intravascular coagulation']]"
"We report a case of a patient with ciprofloxacin-induced SJS and acute onset of VBDS, and reviewed the related literature.","[['ciprofloxacin', 'SJS'], ['ciprofloxacin', 'VBDS']]","[['ciprofloxacin', 'SJS'], ['ciprofloxacin', 'VBDS']]"
The oligohidrosis caused by zonisamide was reversible in that the patient regained the ability to sweat within 2 weeks of the cessation of drug administration.,"[['zonisamide', 'oligohidrosis']]","[['zonisamide', 'oligohidrosis']]"
Unusual hypersensitivity to warfarin in a critically ill patient.,"[['warfarin', 'hypersensitivity']]","[['warfarin', 'hypersensitivity']]"
The wide use of phenytoin during the recent tuberculosis epidemic makes it imperative to suspect this drug interaction in patients exhibiting clinical features that might be related to phenytoin toxicity.,"[['phenytoin', 'phenytoin toxicity'], ['phenytoin', 'phenytoin toxicity']]","[['phenytoin', 'phenytoin toxicity']]"
OBJECTIVE: To report a case of possible foscarnet-induced severe hypomagnesemia and other electrolyte disorders.,"[['foscarnet', 'electrolyte disorders'], ['foscarnet', 'severe hypomagnesemia']]","[['foscarnet','severe hypomagnesemia'], ['foscarnet', 'electrolyte disorders']]"
"Gemcitabine is a known risk factor for hemolytic uremic syndrome (HUS), which can often have a rapidly fatal clinical course despite intervention with steroids, plasmapheresis and hemodialysis.","[['Gemcitabine', 'hemolytic uremic syndrome'], ['Gemcitabine', 'HUS']]","[['Gemcitabine', 'hemolytic uremic syndrome'], ['Gemcitabine', 'HUS'], ['Gemcitabine', 'rapidly fatal']]"
Incomplete posterior hyaloid detachment after intravitreal pegaptanib injection in diabetic macular edema.,"[['pegaptanib', 'Incomplete posterior hyaloid detachment']]","[['pegaptanib', 'Incomplete posterior hyaloid detachment']]"
Ciprofloxacin-induced toxic epidermal necrolysis in a patient with systemic lupus erythematosus.,"[['Ciprofloxacin', 'toxic epidermal necrolysis']]","[['Ciprofloxacin', 'toxic epidermal necrolysis']]"
Anaphylactic reaction to bacitracin ointment.,"[['bacitracin', 'Anaphylactic reaction']]","[['bacitracin', 'Anaphylactic reaction']]"
Severe sulfadiazine hypersensitivity in a child with reactivated congenital toxoplasmic chorioretinitis.,"[['sulfadiazine', 'hypersensitivity']]","[['sulfadiazine','severe hypersensitivity']]"
"RESULTS: The patient, a 27-year-old married Japanese woman with borderline personality disorder, developed an increased libido with the administration of fluvoxamine.","[['fluvoxamine', 'increased libido']]","[['fluvoxamine', 'increased libido']]"
RESULTS: A 44-year-old man taking naproxen for chronic low back pain and a 20-year-old woman on oxaprozin for rheumatoid arthritis presented with tense bullae and cutaneous fragility on the face and the back of the hands.,"[['naproxen', 'cutaneous fragility'], ['oxaprozin', 'cutaneous fragility'], ['naproxen', 'tense bullae'], ['oxaprozin', 'tense bullae']]","[['naproxen', 'cutaneous fragility'], ['oxaprozin', 'cutaneous fragility'], ['naproxen', 'tense bullae']]"
The following is a report of 2 cases of rifampicin-induced renal insufficiency.,"[['rifampicin', 'renal insufficiency']]","[['rifampicin','renal insufficiency']]"
Acute leukopenia associated with silver sulfadiazine therapy.,"[['silver sulfadiazine', 'Acute leukopenia']]","[['silver sulfadiazine', 'Acute leukopenia']]"
Methotrexate-induced leukoencephalopathy is treatable with high-dose folinic acid: a case report and analysis of the literature.,"[['Methotrexate', 'leukoencephalopathy']]","[['Methotrexate', 'leukoencephalopathy']]"
"However, the amount of prednisone required to maintain normotension resulted in Cushingoid features and has been discontinued.","[['prednisone', 'Cushingoid features']]","[['prednisone', 'Cushingoid']]"
The Center for Disease Control has received numerous reports of an eosinophilia-myalgia syndrome related to products containing L-tryptophan.,"[['L-tryptophan', 'eosinophilia-myalgia syndrome']]","[['L-tryptophan', 'eosinophilia-myalgia syndrome']]"
Intra-neural ceroid-like pigment following the treatment of lepromatous leprosy with clofazimine (B663; Lamprene).,"[['B663', 'Intra-neural ceroid-like pigment'], ['clofazimine', 'Intra-neural ceroid-like pigment'], ['Lamprene', 'Intra-neural ceroid-like pigment']]","[['clofazimine', 'Intra-neural ceroid-like pigment'], ['B663', 'Intra-neural ceroid-like pigment'], ['Lamprene', 'Intra-neural ceroid-like pigment']]"
OBSERVATIONS: We observed aggravation and spreading of a psoriatic plaque when treated topically with the toll-like receptor (TLR) 7 agonist imiquimod.,"[['imiquimod', 'aggravation and spreading of a psoriatic plaque']]","[['imiquimod', 'aggravation and spreading of a psoriatic plaque']]"
"We report an HIV-infected woman who developed mild leukopenia as the first sign of a nevirapine-related adverse event, which was followed by skin and hepatic toxicity associated with a more severe leukopenia.","[['nevirapine', 'leukopenia'], ['nevirapine', 'leukopenia'], ['nevirapine', 'skin and hepatic toxicity']]","[['nevirapine','skin and hepatic toxicity'], ['nevirapine', 'leukopenia'], ['nevirapine','mild leukopenia']]"
Propranolol: an unrecognized cause of central nervous system dysfunction in patients undergoing cardiopulmonary bypass.,"[['Propranolol', 'central nervous system dysfunction']]","[['Propranolol', 'central nervous system dysfunction']]"
Drug-induced fever due to diltiazem.,"[['diltiazem', 'fever']]","[['diltiazem', 'fever']]"
"In this report, two cases of ET which evolved into AL without prior exposure to radiation or alkylating agents, and which were treated with long-term hydroxyurea therapy, are described.","[['hydroxyurea', 'AL']]","[['hydroxyurea', 'AL'], ['hydroxyurea', 'ET'], ['hydroxyurea', 'ET'], ['hydroxyurea', 'AL']]"
"Several hypersensitivity reactions to cloxacillin have been reported, although IgE-mediated allergic reactions to the drug are rare and there is little information about possible tolerance to other semisynthetic penicillins or cephalosporins in patients with cloxacillin allergy.","[['cloxacillin', 'hypersensitivity'], ['cloxacillin', 'IgE-mediated allergic reactions']]","[['cloxacillin', 'hypersensitivity reactions'], ['cloxacillin', 'IgE-mediated allergic reactions']]"
The disease predisposes to severe vincristine neurotoxicity.,"[['vincristine', 'vincristine neurotoxicity']]","[['vincristine', 'neurotoxicity']]"
"Given that discontinuation of nitrofurantoin and introduction of methylprednisolon therapy significantly lowered liver enzyme levels, restoring most of them to normal, we concluded that this was probably the case of toxic liver damage caused by nitrofurantoin.","[['nitrofurantoin', 'toxic liver damage']]","[['nitrofurantoin', 'toxic liver damage']]"
Stupor from lamotrigine toxicity.,"[['lamotrigine', 'Stupor']]","[['lamotrigine', 'Stupor']]"
A 68-year-old female patient with advanced ovarian carcinoma collapsed whilst receiving a carboplatin and cyclophosphamide infusion.,"[['carboplatin', 'collapsed'], ['cyclophosphamide', 'collapsed']]","[['carboplatin', 'collapsed'], ['cyclophosphamide', 'collapsed']]"
Use of the Naranjo adverse drug reaction probability scale indicated a probable relationship (score of 5) between the patient's development of hepatotoxicity and the TMP-SMX therapy.,"[['TMP-SMX', 'hepatotoxicity']]","[['TMP-SMX', 'hepatotoxicity']]"
"In all cases, drugs in addition to quetiapine were detected, but in cases #1 and #2, the cause of death was considered to be a quetiapine overdose and the other drugs were not considered to be contributory.","[['quetiapine', 'death']]","[['quetiapine', 'death']]"
"Ziprasidone is an atypical antipsychotic drug that is believed to have a low propensity for inducing extrapyramidal symptoms, including tardive dyskinesia (TD).","[['Ziprasidone', 'extrapyramidal symptoms'], ['Ziprasidone', 'tardive dyskinesia'], ['Ziprasidone', 'TD']]","[['Ziprasidone', 'tardive dyskinesia'], ['Ziprasidone', 'TD']]"
We report the first case of doxycycline-induced hypoglycemia in a young nondiabetic man.,"[['doxycycline', 'hypoglycemia']]","[['doxycycline', 'hypoglycemia']]"
Surgeons and physicians should therefore be aware of the potential for RTA to occur with FK506 after any organ transplantation.,"[['FK506', 'RTA']]","[['FK506', 'RTA']]"
Parenteral-verapamil-induced sustained hypotension.,"[['verapamil', 'sustained hypotension']]","[['verapamil','sustained hypotension']]"
Horner's syndrome and demyelinating peripheral neuropathy caused by high-dose cytosine arabinoside.,"[['cytosine arabinoside', 'demyelinating peripheral neuropathy'], ['cytosine arabinoside', ""Horner's syndrome""]]","[['cytosine arabinoside', 'Horner's syndrome'], ['cytosine arabinoside', 'demyelinating peripheral neuropathy']]"
"The case demonstrates that hypersensitivity reaction to pranlukast and resultant ATIN is possible, and that periodic urine testing in patients receiving pranlukast should be considered.","[['pranlukast', 'ATIN'], ['pranlukast', 'ATIN'], ['pranlukast', 'hypersensitivity reaction'], ['pranlukast', 'hypersensitivity reaction']]","[['pranlukast', 'ATIN'], ['pranlukast', 'hypersensitivity reaction'], ['pranlukast', 'ATIN']]"
The occurrence of neuromuscular blockade and the resulting potentiation of muscle relaxants during magnesium sulfate (MgSO4) administration is well known.,"[['magnesium sulfate', 'neuromuscular blockade'], ['MgSO4', 'neuromuscular blockade'], ['magnesium sulfate', 'potentiation of muscle relaxants'], ['MgSO4', 'potentiation of muscle relaxants']]","[['magnesium sulfate', 'neuromuscular blockade'], ['MgSO4', 'neuromuscular blockade']]"
Acute myeloid leukemia evolving from essential thrombocythemia in two patients treated with hydroxyurea.,"[['hydroxyurea', 'Acute myeloid leukemia']]","[['hydroxyurea', 'Acute myeloid leukemia'], ['hydroxyurea', 'essential thrombocythemia']]"
Successful treatment with carbimazole of a hyperthyroid pregnancy with hepatic impairment after propylthiouracil administration: a case report.,"[['propylthiouracil', 'hepatic impairment']]","[['propylthiouracil', 'hepatic impairment'], ['carbimazole', 'hepatic impairment']]"
"A case of phenytoin-induced hepatitis with mononucleosis is reported, and syndromes associated with phenytoin hypersensitivity reactions are discussed.","[['phenytoin', 'hepatitis'], ['phenytoin', 'hypersensitivity reactions'], ['phenytoin', 'mononucleosis']]","[['phenytoin', 'hepatitis'], ['phenytoin','mononucleosis'], ['phenytoin', 'hypersensitivity reactions']]"
OBJECTIVE: To report a case of linear immunoglobulin (Ig) A bullous dermatosis (LABD) induced by gemcitabine.,"[['gemcitabine', 'LABD'], ['gemcitabine', 'linear immunoglobulin (Ig) A bullous dermatosis']]","[['gemcitabine', 'LABD'], ['gemcitabine', 'linear immunoglobulin (Ig) A bullous dermatosis']]"
We report two cases of tenofovir (TDF)-associated nephrotoxicity in perinatally HIV-infected adolescents.,"[['TDF', 'nephrotoxicity'], ['tenofovir', 'nephrotoxicity']]","[['TDF', 'nephrotoxicity'], ['tenofovir', 'nephrotoxicity']]"
METHOD: The authors followed a patient with chronic HCV who received interferon and ribavirin and who developed hallucinations ultimately requiring psychiatric hospitalization.,"[['interferon', 'hallucinations'], ['ribavirin', 'hallucinations']]","[['interferon', 'hallucinations'], ['ribavirin', 'hallucinations']]"
Severe corneal toxicity after topical fluoroquinolone therapy: report of two cases.,"[['fluoroquinolone', 'Severe corneal toxicity']]","[['fluoroquinolone', 'Severe corneal toxicity']]"
"We describe the side effects of 5-FU in a colon cancer patient who suffered severe mucositis, desquamating dermatitis, prolonged myelosuppression, and neurologic toxicity that required admission to the intensive care unit.","[['5-FU', 'neurologic toxicity'], ['5-FU', 'prolonged myelosuppression'], ['5-FU', 'severe mucositis']]","[['5-FU', 'desquamating dermatitis'], ['5-FU', 'prolonged myelosuppression'], ['5-FU', 'neurologic toxicity'], ['5-FU','severe mucositis']]"
The mechanism of RTA induced by FK506 has not yet been clearly elucidated.,"[['FK506', 'RTA']]","[['FK506', 'RTA']]"
Pilocarpine toxicity and the treatment of xerostomia.,"[['Pilocarpine', 'Pilocarpine toxicity']]","[['Pilocarpine', 'Pilocarpine toxicity']]"
"RESULTS: Including our own patient, a total of 26 cases of gemcitabine-associated HUS were identified.","[['gemcitabine', 'HUS']]","[['gemcitabine', 'HUS']]"
Albendazole-induced pseudomembranous colitis.,"[['Albendazole', 'pseudomembranous colitis']]","[['Albendazole', 'pseudomembranous colitis']]"
"A 58-year-old woman with rheumatoid arthritis (RA) developed fever, skin eruptions, leukocytopenia, and thrombocytopenia, 3 weeks after treatment with sulfasalazine.","[['sulfasalazine', 'fever'], ['sulfasalazine', 'leukocytopenia'], ['sulfasalazine', 'skin eruptions'], ['sulfasalazine', 'thrombocytopenia']]","[['sulfasalazine', 'fever'], ['sulfasalazine', 'leukocytopenia'], ['sulfasalazine', 'thrombocytopenia'], ['sulfasalazine','skin eruptions']]"
"A 56-year-old male parkinsonian patient developed a unique behavioral change following the oral administration of cinepazide, a cerebral vasodilator.","[['cinepazide', 'behavioral change']]","[['cinepazide', 'behavioral change']]"
"Three of these patients had convulsions attributed to imipenem/cilastatin; 3.6% of the patients had seizure, or 2% of imipenem/cilastatin administrations was followed by a seizure attack.","[['cilastatin', 'convulsions'], ['imipenem', 'convulsions'], ['cilastatin', 'seizure'], ['imipenem', 'seizure'], ['cilastatin', 'seizure'], ['imipenem', 'seizure']]","[['cilastatin','seizure'], ['imipenem','seizure'], ['cilastatin', 'convulsions'], ['imipenem', 'convulsions'], ['cilastatin','seizure'], ['cilastatin','seizure'], ['imipenem','seizure'], ['cilastatin','seizure']]"
We present a case report of a patient who developed a prolonged QT while being treated with oral methadone for a chronic pain syndrome.,"[['methadone', 'prolonged QT']]","[['methadone', 'prolonged QT']]"
Paradoxical seizures in phenytoin toxicity.,"[['phenytoin', 'seizures']]","[['phenytoin', 'Paradoxical seizures']]"
Three cases of gold-related neuropathy are reported.,"[['gold', 'neuropathy']]","[['gold', 'neuropathy']]"
"BACKGROUND: Aphthous stomatitis, a common mucocutaneous disorder, is a well accepted complication of sirolimus therapy.","[['sirolimus', 'Aphthous stomatitis']]","[['sirolimus', 'Aphthous stomatitis']]"
"Benzocaine, an ester-type local anesthetic, was believed responsible for apparent methemoglobinemia in a cat.","[['Benzocaine', 'methemoglobinemia']]","[['Benzocaine','methemoglobinemia']]"
Three patients developed proteinuria following gold therapy for rheumatoid arthritis.,"[['gold', 'proteinuria']]","[['gold', 'proteinuria']]"
A retrospective review of TTP patients with quinine-associated thrombotic microangiopathy (TMA) for whom ADAMTS13 was measured before plasma exchange was performed.,"[['quinine', 'thrombotic microangiopathy'], ['quinine', 'TMA']]","[['quinine', 'thrombotic microangiopathy'], ['quinine', 'TMA']]"
"The authors present a case study of a mentally healthy man who repeatedly experienced short-lived, obsessional-like suicidal ideas and images after ingestion of the anti-fungal drug ketoconazole.","[['ketoconazole', 'obsessional-like suicidal ideas and images']]","[['ketoconazole', 'obsessional-like suicidal ideas']]"
Disulfiram-induced fulminant hepatic failure in an active duty soldier.,"[['Disulfiram', 'fulminant hepatic failure']]","[['Disulfiram', 'fulminant hepatic failure']]"
A small initial dose of prazosin ranging from 0.5 to 1 mg has been recommended to avoid the first-dose phenomenon characterized by a sudden and severe drop in blood pressure after the administration of the first dose of prazosin.,"[['prazosin', 'severe drop in blood pressure'], ['prazosin', 'severe drop in blood pressure']]","[['prazosin','sudden and severe drop in blood pressure']]"
Rhabdomyolysis following clarithromycin monotherapy.,"[['clarithromycin', 'Rhabdomyolysis']]","[['clarithromycin', 'Rhabdomyolysis']]"
"We describe 2 patients with severe erosive rheumatoid arthritis and rheumatoid vasculitis, respectively, in whom infliximab therapy was associated with peripheral neuropathy due to necrotizing vasculitis in one patient and to progression of preexisting mononeuritis multiplex in the other.","[['infliximab', 'necrotizing vasculitis'], ['infliximab', 'peripheral neuropathy'], ['infliximab', 'progression of preexisting mononeuritis multiplex']]","[['infliximab', 'peripheral neuropathy'], ['infliximab', 'necrotizing vasculitis'], ['infliximab','mononeuritis multiplex']]"
Torsade de pointes during loading with amiodarone.,"[['amiodarone', 'Torsade de pointes']]","[['amiodarone', 'Torsade de pointes']]"
A 40-year-old man with a long standing history of rheumatoid arthritis was treated with MTX over a 6 month period and developed an overwhelming hepatic necrosis.,"[['MTX', 'overwhelming hepatic necrosis']]","[['MTX', 'hepatic necrosis']]"
Fibrosis of corpus cavernosum after intracavernous injection of phentolamine/papaverine.,"[['papaverine', 'Fibrosis of corpus cavernosum'], ['phentolamine', 'Fibrosis of corpus cavernosum']]","[['papaverine', 'Fibrosis of corpus cavernosum'], ['phentolamine', 'Fibrosis of corpus cavernosum']]"
The currently available clinical and neuropharmacologic data suggest that carbamazepine may be an antagonist of dopamine and that this property is responsible for the production of dystonia.,"[['carbamazepine', 'dystonia']]","[['carbamazepine', 'dystonia']]"
Two children with rheumatic fever developed anicteric hepatitis while on high-dose aspirin therapy.,"[['aspirin', 'anicteric hepatitis']]","[['aspirin', 'anicteric hepatitis']]"
A 73 year-old patient with Wolff-Parkinson-White syndrome and paroxysmic supraventricular tachycardia developed an acute reversible encephalopathy within 15 days of initiation of flecainide.,"[['flecainide', 'acute reversible encephalopathy']]","[['flecainide', 'acute reversible encephalopathy']]"
Thrombocytosis under ciprofloxacin and tazobactam/piperacillin.,"[['ciprofloxacin', 'Thrombocytosis'], ['piperacillin', 'Thrombocytosis'], ['tazobactam', 'Thrombocytosis']]","[['ciprofloxacin', 'Thrombocytosis'], ['piperacillin', 'Thrombocytosis'], ['tazobactam', 'Thrombocytosis']]"
Proton MRS examination demonstrated a persistent lactate elevation during metronidazole treatment.,"[['metronidazole', 'lactate elevation']]","[['metronidazole', 'lactate elevation']]"
Reversible nonthrombocytopenic palpable purpura associated with metoclopramide.,"[['metoclopramide', 'nonthrombocytopenic palpable purpura']]","[['metoclopramide', 'Reversible nonthrombocytopenic palpable purpura']]"
Discontinuation of the itraconazole caused resolution of the drug eruption.,"[['itraconazole', 'drug eruption']]","[['itraconazole', 'drug eruption']]"
Four Chinese female patients who suffered from manic-depressive disorder and underlying autoimmune thyroiditis developed transient episodes of thyrotoxicosis during maintenance lithium therapy.,"[['lithium', 'thyrotoxicosis']]","[['lithium', 'thyrotoxicosis']]"
Ischaemia following selfadministered intra-arterial injection of methylphenidate and diamorphine.,"[['diamorphine', 'Ischaemia'], ['methylphenidate', 'Ischaemia']]","[['methylphenidate', 'Ischaemia'], ['diamorphine', 'Ischaemia']]"
Radiation recall pneumonitis induced by gemcitabine.,"[['gemcitabine', 'Radiation recall pneumonitis']]","[['gemcitabine', 'Radiation recall pneumonitis']]"
During and after IFN therapy we should consider the possibility of occurrence of IDDM as well as other autoimmune diseases and observe the clinical course carefully.,"[['IFN', 'IDDM']]","[['IFN', 'IDDM'], ['IFN', 'autoimmune diseases']]"
"The reported cases of in utero exposure to cyclosposphamide shared the following manifestations with our patient: growth deficiency, developmental delay, craniosynostosis, blepharophimosis, flat nasal bridge, abnormal ears, and distal limb defects including hypoplastic thumbs and oligodactyly.","[['cyclosposphamide', 'blepharophimosis'], ['cyclosposphamide', 'craniosynostosis'], ['cyclosposphamide', 'developmental delay'], ['cyclosposphamide', 'distal limb defects'], ['cyclosposphamide', 'flat nasal bridge'], ['cyclosposphamide', 'hypoplastic thumbs'], ['cyclosposphamide', 'oligodactyly']]","[['cyclosposphamide', 'abnormal ears'], ['cyclosposphamide', 'abnormal ears'], ['cyclosposphamide', 'growth deficiency'], ['cyclosposphamide', 'developmental delay'], ['cyclosposphamide', 'croniosynostosis'], ['cyclosposphamide', 'flat nasal bridge'], ['cyclosposphamide', 'distal limb defects'], ['cyclosposphamide', 'hypoplastic thumbs'], ['cyclosposphamide', 'distal limb defects'], ['cyclosposphamide', 'hypoplastic thumbs'], ['cyclosposphamide', 'distal limb defects'], ['cyclosposphamide', 'hypoplastic thumbs'], ['cyclosposphamide', '"
