input,explanations,gold_relations
"The vomiting occurred on switching to different pancreatic enzymes preparations, ie, Creon 10, Viokase, and Pancrease MT 16.","Explanation: Explanation: Explanation: Vomiting occurred when switching to different pancreatic enzymes preparations, Creon 10, Viokase, and Pancrease MT 16.</s></s></s>","[['Creon 10', 'vomiting'], ['Pancrease MT 16', 'vomiting'], ['Viokase', 'vomiting']]"
Acute valproate ingestion induces symptomatic methemoglobinemia.,Explanation: Explanation: Explanation: Acute valproate ingestion caused symptomatic methemoglobinemia.</s></s></s>,"[['valproate', 'symptomatic methemoglobinemia']]"
"We report for the first time the development of symptomatic methemoglobinemia after an acute ingestion of divalproex sodium (Depakote), resulting in serum concentrations 10 times greater than the therapeutic range.",Explanation: Explanation: Explanation: Symptomatic methemoglobinemia occurred after an acute ingestion of divalproex sodium or Depakote.</s></s></s>,"[['Depakote', 'symptomatic methemoglobinemia'], ['divalproex sodium', 'symptomatic methemoglobinemia']]"
"In rare cases mitomycin C (MMC) may induce cancer-associated hemolytic uremic syndrome, which is characterized by hemolytic anemia, thrombocytopenia and progressive renal failure.","Explanation: Explanation: Explanation: In rare cases, mitomycin C (MMC) may induce cancer-associated hemolytic uremic syndrome, which is characterized by hemolytic anemia, thrombocytopenia, and progressive renal failure.</s></s></s>","[['mitomycin C', 'hemolytic anemia'], ['MMC', 'hemolytic anemia'], ['mitomycin C', 'hemolytic uremic syndrome'], ['MMC', 'hemolytic uremic syndrome'], ['mitomycin C', 'progressive renal failure'], ['MMC', 'progressive renal failure'], ['mitomycin C', 'thrombocytopenia'], ['MMC', 'thrombocytopenia']]"
Mitomycin C-related hemolytic uremic syndrome in cancer patients.,Explanation: Explanation: Explanation: Hemolytic uremic syndrome was reported in cancer patients related to Mitomycin C.</s></s></s>,"[['Mitomycin C', 'hemolytic uremic syndrome']]"
"We report a case of MMC-related hemolytic uremic syndrome, and discuss the etiologic parameters, clinical aspects, prognosis and treatment modalities of this severe syndrome.",Explanation: Explanation: Explanation: MMC-related hemolytic uremic syndrome was reported in a case.</s></s></s>,"[['MMC', 'hemolytic uremic syndrome']]"
Severe respiratory syncytial virus pulmonary infection in a patient treated with fludarabine for chronic lymphocytic leukemia.,Explanation: Explanation: Explanation: Severe respiratory syncytial virus pulmonary infection occurred in a patient treated with fludarabine for chronic lymphocytic leukemia.</s></s></s>,"[['fludarabine', 'Severe respiratory syncytial virus pulmonary infection']]"
We report here on a heretofore undescribed respiratory syncytial virus (RSV) infection in a patient with a long-standing history of refractory CLL that was treated with fludarabine phosphate.,Explanation: Explanation: Explanation: Patient with long-standing history of refractory CLL developed RSV infection after treatment with fludarabine phosphate.</s></s></s>,"[['fludarabine phosphate', 'respiratory syncytial virus (RSV) infection']]"
Serotonin syndrome induced by transitioning from phenelzine to venlafaxine: four patient reports.,Explanation: Explanation: Explanation: Serotonin syndrome was induced by transitioning from phenelzine to venlafaxine.</s></s></s>,"[['phenelzine', 'Serotonin syndrome'], ['venlafaxine', 'Serotonin syndrome']]"
Although this G-CSF-driven leucocytosis was alarming it did not appear to have adversely affected the patient's prognosis.,"Explanation: Explanation: Explanation: G-CSF caused leucocytosis in the patient, but it did not affect the prognosis.</s></s></s>","[['G-CSF', 'leucocytosis']]"
Leukaemoid monocytosis in M4 AML following chemotherapy and G-CSF.,Explanation: Explanation: Explanation: Leukaemoid monocytosis occurred in a patient with M4 AML following chemotherapy and G-CSF.</s></s></s>,"[['G-CSF', 'Leukaemoid monocytosis']]"
We describe a patient with M4 AML treated with standard chemotherapy followed by G-CSF who developed marked monocytosis on day 8 of G-CSF therapy.,Explanation: Explanation: Explanation: G-CSF therapy caused marked monocytosis in a patient with M4 AML.</s></s></s>,"[['G-CSF', 'monocytosis'], ['G-CSF', 'monocytosis']]"
"Case 2 demonstrated after 40 months on chlorambucil the presence of a balanced translocation, t (1;5) (p36;q31) in 90% of the cells.","Explanation: Explanation: Explanation: After 40 months of chlorambucil therapy, a balanced translocation was present in 90% of the cells.</s></s></s>","[['chlorambucil', 'balanced translocation']]"
Chromosome abnormalities after chlorambucil therapy of polycythaemia vera.,Explanation: Explanation: Explanation: Chromosome abnormalities occurred after chlorambucil therapy of polycythaemia vera.</s></s></s>,"[['chlorambucil', 'Chromosome abnormalities']]"
Administration of steroid and decreasing the dose of PTU produced a good clinical response and the ANCA disappeared.,Explanation: Explanation: Explanation: Decreasing the dose of PTU caused the disappearance of ANCA.</s></s></s>,"[['PTU', 'ANCA']]"
Antineutrophil cytoplasmic antibody-positive crescentic glomerulonephritis associated with propylthiouracil therapy.,Explanation: Explanation: Explanation: Propylthiouracil therapy caused Antineutrophil cytoplasmic antibody-positive crescentic glomerulonephritis.</s></s></s>,"[['propylthiouracil', 'Antineutrophil cytoplasmic antibody-positive crescentic glomerulonephritis']]"
A teenage girl with crescentic glomerulonephritis had antineutrophil cytoplasmic antibody (ANCA) detected after she had received propylthiouracil (PTU) for hyperthyroidism without cutaneous vasculitis.,Explanation: Explanation: Explanation: ANCA was detected in a teenage girl with crescentic glomerulonephritis after taking propylthiouracil (PTU) for hyperthyroidism.</s></s></s>,"[['propylthiouracil', 'antineutrophil cytoplasmic antibody'], ['PTU', 'antineutrophil cytoplasmic antibody']]"
It was concluded that ANCA is closely related to the pathogenesis of crescentic glomerulonephritis and that treatment with PTU appeared to induce ANCA.,Explanation: Explanation: Explanation: Treatment with PTU induced ANCA and was closely related to the pathogenesis of crescentic glomerulonephritis.</s></s></s>,"[['PTU', 'ANCA'], ['PTU', 'ANCA']]"
A drug interaction between zafirlukast and theophylline.,Explanation: Explanation: Explanation: There is a drug interaction between zafirlukast and theophylline.</s></s></s>,"[['theophylline', 'drug interaction'], ['zafirlukast', 'drug interaction']]"
"Attempts were made to stop and then restart the theophylline therapy at progressively lower doses; however, with each attempt, the patient's reaction to the drug became more toxic, with serum theophylline levels ranging between 99.9 and 149.9 micromol/L (18 and 27 microg/mL).","Explanation: Explanation: Explanation: The reaction to the theophylline therapy became more toxic with each attempt, with serum theophylline levels ranging between 99.9 and 149.9 micromol/L (18 and 27 microg/mL).</s></s></s>","[['theophylline', 'reaction to the drug became more toxic'], ['theophylline', 'reaction to the drug became more toxic']]"
"One explanation for the noted increase in the theophylline level is that metabolism occurs mainly by cytochrome P450 (CYP 1A2), an enzyme that is known to be inhibited with high concentrations of zafirlukast.","Explanation: Explanation: Explanation: High concentrations of zafirlukast inhibited the CYP 1A2 enzyme, leading to an increase in the theophylline level.</s></s></s>","[['theophylline', 'increase in the theophylline level'], ['zafirlukast', 'increase in the theophylline level']]"
"Recently, her serum theophylline levels had increased to the toxic range (133.2 micromol/L [24 microg/mL]) shortly after the addition of zafirlukast (Accolate, Zeneca Pharmaceuticals, Wilmington, Del) to her regimen.",Explanation: Explanation: Explanation: The addition of Accolate (zafirlukast) to the patient's regimen caused the theophylline levels to increase to the toxic range.</s></s></s>,"[['Accolate', 'theophylline levels had increased to the toxic range'], ['theophylline', 'theophylline levels had increased to the toxic range'], ['zafirlukast', 'theophylline levels had increased to the toxic range']]"
The noted increase in the theophylline level after zafirlukast administration is in contrast to the original reports by the manufacturer.,"Explanation: Explanation: Explanation: An increase in the theophylline level was noted after zafirlukast administration, which was in contrast to the original reports by the manufacturer.</s></s></s>","[['theophylline', 'increase in the theophylline level'], ['zafirlukast', 'increase in the theophylline level']]"
We present the first case (to our knowledge) of a potentially serious drug-drug interaction between zafirlukast and theophylline.,Explanation: Explanation: Explanation: A potentially serious drug-drug interaction between zafirlukast and theophylline was reported.</s></s></s>,"[['theophylline', 'drug-drug interaction'], ['zafirlukast', 'drug-drug interaction']]"
A 21-year-old patient developed rhabdomyolysis during his nineteenth week of treatment with clozapine for drug-resistant schizophrenia.,Explanation: Explanation: Explanation: Clozapine caused rhabdomyolysis in a 21-year-old patient during his nineteenth week of treatment.</s></s></s>,"[['clozapine', 'rhabdomyolysis']]"
Clozapine is speculated to cause rhabdomyolysis in patients with defective calcium-activated K+ channels.,Explanation: Explanation: Explanation: Clozapine is speculated to cause rhabdomyolysis in patients with defective calcium-activated K+ channels.</s></s></s>,"[['Clozapine', 'rhabdomyolysis']]"
Rhabdomyolysis associated with clozapine treatment in a patient with decreased calcium-dependent potassium permeability of cell membranes.,Explanation: Explanation: Explanation: Rhabdomyolysis was associated with clozapine treatment.</s></s></s>,"[['clozapine', 'Rhabdomyolysis']]"
We describe children and adolescents with chronic hematologic and oncologic diseases who exhibited drug-seeking behavior or anticholinergic symptoms with the use of diphenhydramine.,Explanation: Explanation: Explanation: Children and adolescents with chronic hematologic and oncologic diseases exhibited anticholinergic symptoms and drug-seeking behavior with the use of diphenhydramine.</s></s></s>,"[['diphenhydramine', 'anticholinergic symptoms'], ['diphenhydramine', 'drug-seeking behavior']]"
"Excluding other causes, Pentasa-associated pancytopenia was considered.",Explanation: Explanation: Explanation: Pancytopenia was associated with taking Pentasa.</s></s></s>,"[['Pentasa', 'pancytopenia']]"
"He developed fever, nausea, diarrhea, and malaise and stopped taking on the third day after commencing Pentasa.","Explanation: Explanation: Explanation: After commencing Pentasa, the patient developed fever, nausea, diarrhea, and malaise.</s></s></s>","[['Pentasa', 'diarrhea'], ['Pentasa', 'fever'], ['Pentasa', 'malaise'], ['Pentasa', 'nausea']]"
Pancytopenia associated with 5-aminosalicylic acid use in a patient with Crohn's disease.,Explanation: Explanation: Explanation: Pancytopenia was associated with 5-aminosalicylic acid use in a patient with Crohn's disease.</s></s></s>,"[['5-aminosalicylic acid', 'Pancytopenia']]"
"We report a case of pancytopenia in a 23-year-old man with Crohn's disease who was treated with 5-aminosalicylic acid (Pentasa; Nisshin, Tokyo, Japan) 3.0 g/day.",Explanation: Explanation: Explanation: A 23-year-old man with Crohn's disease developed pancytopenia after treatment with 5-aminosalicylic acid (Pentasa).</s></s></s>,"[['5-aminosalicylic acid', 'pancytopenia'], ['Pentasa', 'pancytopenia']]"
1. Changes in the plasma cortisol level were reported in a male patient with panic disorder during the period of low-dose alprazolam treatment (mean 0.62 +/- 0.15 mg/day) compared with during the period of high-dose period (mean 1.08 +/- 0.28 mg/day).,Explanation: Explanation: Explanation: Changes in the plasma cortisol level were reported in a male patient with panic disorder during the period of alprazolam treatment.</s></s></s>,"[['alprazolam', 'Changes in the plasma cortisol level']]"
"3. Thus, the decreased plasma cortisol level during alprazolam treatment of panic disorder was suggested to be caused not by symptom alleviation due to alprazolam but by alprazolam administration itself.",Explanation: Explanation: Explanation: Alprazolam administration caused decreased plasma cortisol level in panic disorder patients.</s></s></s>,"[['alprazolam', 'decreased plasma cortisol level']]"
Decreased plasma cortisol level during alprazolam treatment of panic disorder: a case report.,Explanation: Explanation: Explanation: A case report showed decreased plasma cortisol level during alprazolam treatment of panic disorder.</s></s></s>,"[['alprazolam', 'Decreased plasma cortisol level']]"
We describe a renal transplant recipient maintained on cyclosporine and prednisone developing Nocardia Asteroides brain abscess.,Explanation: Explanation: Explanation: A renal transplant recipient maintained on cyclosporine and prednisone developed Nocardia Asteroides brain abscess.</s></s></s>,"[['cyclosporine', 'Nocardia Asteroides brain abscess'], ['prednisone', 'Nocardia Asteroides brain abscess']]"
Young children undergoing cisplatin chemotherapy are known to be at risk for progressive sensorineural hearing loss.,Explanation: Explanation: Explanation: Young children undergoing cisplatin chemotherapy are at risk for progressive sensorineural hearing loss.</s></s></s>,"[['cisplatin', 'progressive sensorineural hearing loss']]"
"A 47 year-old woman who had a 4-year history of intramuscular pentazocine injections in the lower extremities, developed gradual stiffness and weakness of the lower extremities.",Explanation: Explanation: Explanation: Intramuscular pentazocine injections caused gradual stiffness and weakness of the lower extremities in the patient.</s></s></s>,"[['pentazocine', 'gradual stiffness'], ['pentazocine', 'weakness of the lower extremities']]"
Caution in longterm usage and early recognition of pentazocine toxicity as a neuromuscular complication are important in order to prevent irreversible drug-induced fibrous myopathy and localized neuropathy.,"Explanation: Explanation: Explanation: Longterm usage of pentazocine may cause fibrous myopathy, neuromuscular complication, neuropathy, and pentazocine toxicity.</s></s></s>","[['pentazocine', 'fibrous myopathy'], ['pentazocine', 'neuromuscular complication'], ['pentazocine', 'neuropathy'], ['pentazocine', 'pentazocine toxicity']]"
Pentazocine-induced fibrous myopathy and localized neuropathy.,Explanation: Explanation: Explanation: Pentazocine caused fibrous myopathy and localized neuropathy.</s></s></s>,"[['Pentazocine', 'fibrous myopathy'], ['Pentazocine', 'neuropathy']]"
"In two of these cases akathisia resolved after withdrawal of olanzapine and substitution by a classical or an atypical neuroleptic agent, respectively.","Explanation: Explanation: Explanation: Olanzapine caused akathisia in two cases, which resolved after its withdrawal.</s></s></s>","[['olanzapine', 'akathisia']]"
Like other atypical neuroleptics olanzapine is considered to show a reduced prevalence of extrapyramidal side effects when compared to classical neuroleptic drugs.,Explanation: Explanation: Explanation: Olanzapine is known to show a reduced prevalence of extrapyramidal side effects when compared to classical neuroleptic drugs.</s></s></s>,"[['olanzapine', 'extrapyramidal side effects']]"
One should therefore be aware of possible extrapyramidal side effects with olanzapine that are reduced compared to classical neuroleptic drugs but not completely eliminated.,"Explanation: Explanation: Explanation: Olanzapine can cause extrapyramidal side effects, albeit reduced compared to classical neuroleptic drugs.</s></s></s>","[['olanzapine', 'extrapyramidal side effects']]"
Severe akathisia during olanzapine treatment of acute schizophrenia.,Explanation: Explanation: Explanation: Severe akathisia occurred during olanzapine treatment of acute schizophrenia.</s></s></s>,"[['olanzapine', 'Severe akathisia']]"
"We report on three patients with acute schizophrenia, who developed severe akathisia during treatment with olanzapine (20-25 mg/d).",Explanation: Explanation: Explanation: Olanzapine caused severe akathisia in three patients with acute schizophrenia.</s></s></s>,"[['olanzapine', 'severe akathisia']]"
"Seizures occurred in two patients with probable Alzheimer's disease who were receiving long-term treatment with metrifonate, an irreversible acetylcholinesterase inhibitor.","Explanation: Explanation: Explanation: Seizures occurred in two patients with probable Alzheimer's disease who were receiving metrifonate, an irreversible acetylcholinesterase inhibitor.</s></s></s>","[['metrifonate', 'Seizures']]"
"However, 1 eye had vitreous hemorrhage after repeated injections of tPA.",Explanation: Explanation: Explanation: Repeated injections of tPA caused vitreous hemorrhage in 1 eye.</s></s></s>,"[['tPA', 'vitreous hemorrhage']]"
"However, repeated intracameral tPA injections may cause unwanted complications such as vitreous hemorrhage.",Explanation: Explanation: Explanation: Repeated intracameral tPA injections caused vitreous hemorrhage as an unwanted complication.</s></s></s>,"[['tPA', 'vitreous hemorrhage']]"
"Although praziquantel administration may have been effective in killing the parasite in both patients, we are concerned about the production of marked inflammation as a result of treatment.",Explanation: Explanation: Explanation: Administration of praziquantel caused marked inflammation in both patients.</s></s></s>,"[['praziquantel', 'inflammation']]"
"NMS is a drug-related response to various medications, such as Haloperidol, which the patient was receiving.",Explanation: Explanation: Explanation: Haloperidol caused NMS in the patient.</s></s></s>,"[['Haloperidol', 'NMS']]"
Methimazole-induced aplastic anemia in third exposure: successful treatment with recombinant human granulocyte colony-stimulating factor.,Explanation: Explanation: Explanation: Methimazole induced aplastic anemia in third exposure.</s></s></s>,"[['Methimazole', 'aplastic anemia']]"
We present a case of a 58-year-old female patient with Graves' disease who developed AA in the third exposure to methimazole (MMI).,Explanation: Explanation: Explanation: The patient developed AA in the third exposure to methimazole (MMI).</s></s></s>,"[['methimazole', 'AA']]"
"FSGS induced by Adriamycin (Pharmacia & Upjohn, Columbus, OH) has been observed experimentally in rats.",Explanation: Explanation: Explanation: FSGS was observed in rats after Adriamycin administration.</s></s></s>,"[['Adriamycin', 'FSGS']]"
"The case demonstrates that hypersensitivity reaction to pranlukast and resultant ATIN is possible, and that periodic urine testing in patients receiving pranlukast should be considered.","Explanation: Explanation: Explanation: The case demonstrated that pranlukast can cause both hypersensitivity reaction and ATIN, and that periodic urine testing should be considered in patients receiving pranlukast.</s></s></s>","[['pranlukast', 'ATIN'], ['pranlukast', 'ATIN'], ['pranlukast', 'hypersensitivity reaction'], ['pranlukast', 'hypersensitivity reaction']]"
Tubulointerstitial nephritis induced by the leukotriene receptor antagonist pranlukast.,Explanation: Explanation: Explanation: Tubulointerstitial nephritis was induced by pranlukast.</s></s></s>,"[['pranlukast', 'Tubulointerstitial nephritis']]"
"Within 6 months of pranlukast withdrawal, anemia resolved and urinary sediment and renal function normalized.",Explanation: Explanation: Explanation: Anemia resolved after withdrawal of pranlukast.</s></s></s>,"[['pranlukast', 'anemia']]"
A 65-year-old woman with angina pectoris presented with syncope after sublingual ingestion of isosorbide dinitrate (5 mg).,Explanation: Explanation: Explanation: Syncope occurred in a woman after sublingual ingestion of isosorbide dinitrate.</s></s></s>,"[['isosorbide dinitrate', 'syncope']]"
"Elderly patients for whom nitrate has been prescribed should be warned of the occurrence of hypotension, leading to unconsciousness.",Explanation: Explanation: Explanation: Nitrate can lead to hypotension and unconsciousness in elderly patients.</s></s></s>,"[['nitrate', 'hypotension'], ['nitrate', 'unconsciousness']]"
"In a postural challenge test after administration of isosorbide dinitrate (5 mg), blood pressure decreased from 120/67 to 65/35 mmHg, followed by syncope with a sudden decrease in pulse rate from 85 to 60 beats/min.","Explanation: Explanation: Explanation: After administration of isosorbide dinitrate, blood pressure decreased, pulse rate suddenly decreased, and syncope occurred.</s></s></s>","[['isosorbide dinitrate', 'blood pressure decreased'], ['isosorbide dinitrate', 'sudden decrease in pulse rate'], ['isosorbide dinitrate', 'syncope']]"
Syncope in a 65-year-old woman after nitrate ingestion.,Explanation: Explanation: Explanation: A 65-year-old woman experienced syncope after nitrate ingestion.</s></s></s>,"[['nitrate', 'Syncope']]"
Three diabetic cases of acute dizziness due to initial administration of voglibose.,Explanation: Explanation: Explanation: Initial administration of voglibose caused acute dizziness in three diabetic cases.</s></s></s>,"[['voglibose', 'acute dizziness']]"
"We observed 3 diabetic patients with intolerable dizziness followed by nausea and vomiting immediately after an initial administration of the alpha-glucosidase inhibitor, voglibose.","Explanation: Explanation: Explanation: 3 diabetic patients experienced intolerable dizziness, nausea, and vomiting after an initial administration of voglibose, an alpha-glucosidase inhibitor.</s></s></s>","[['voglibose', 'intolerable dizziness'], ['voglibose', 'nausea'], ['voglibose', 'vomiting']]"
Naproxen-associated sudden sensorineural hearing loss.,Explanation: Explanation: Explanation: Naproxen was associated with sudden sensorineural hearing loss.</s></s></s>,"[['Naproxen', 'sudden sensorineural hearing loss']]"
Naproxen is a commonly used nonsteroidal anti-inflammatory drug (NSAID) whose side effects include tinnitus and transient hearing loss.,"Explanation: Explanation: Explanation: Common side effects of Naproxen, a NSAID, include tinnitus and transient hearing loss.</s></s></s>","[['Naproxen', 'tinnitus'], ['Naproxen', 'transient hearing loss']]"
This article reports the case of an otherwise healthy patient who experienced permanent sensorineural hearing loss after a brief course of naproxen and reviews the literature on NSAID-related permanent sensorineural hearing loss.,Explanation: Explanation: Explanation: Naproxen caused permanent sensorineural hearing loss in an otherwise healthy patient.</s></s></s>,"[['naproxen', 'sensorineural hearing loss']]"
Dental and gingival pain as side effects of niacin therapy.,Explanation: Explanation: Explanation: Dental and gingival pain were reported as side effects of niacin therapy.</s></s></s>,"[['niacin', 'Dental and gingival pain']]"
"The cause of these previously unreported side effects of niacin therapy is uncertain but may be related to prostaglandin-mediated vasodilatation, hyperalgesia of sensory nerve receptors, and potentiation of inflammation in the gingiva with referral of pain to the teeth.","Explanation: Explanation: Explanation: Niacin therapy caused previously unreported side effects, such as hyperalgesia of sensory nerve receptors, pain to the teeth, potentiation of inflammation in the gingiva, and prostaglandin-mediated vasodilatation.</s></s></s>","[['niacin', 'hyperalgesia of sensory nerve receptors'], ['niacin', 'pain to the teeth'], ['niacin', 'potentiation of inflammation in the gingiva'], ['niacin', 'prostaglandin-mediated vasodilatation']]"
"Two 65-year-old white men with coronary heart disease, given niacin therapy for dyslipidemia for 5 months, developed intense dental and gingival pain that was associated with increases in dose and that was relieved with discontinuance of niacin treatment.","Explanation: Explanation: Explanation: Niacin therapy caused intense dental and gingival pain in two men with coronary heart disease, which was relieved with discontinuance of niacin treatment.</s></s></s>","[['niacin', 'intense dental and gingival pain'], ['niacin', 'intense dental and gingival pain']]"
"Although major hazards of treatment of hypophosphatemic osteomalacia with phosphate and calcitriol are secondary hyperparathyroidism and vitamin D intoxication, potassium loss also should be kept in mind.","Explanation: Explanation: Explanation: Treatment of hypophosphatemic osteomalacia with phosphate and calcitriol can lead to potassium loss, secondary hyperparathyroidism, and vitamin D intoxication.</s></s></s>","[['calcitriol', 'potassium loss'], ['phosphate', 'potassium loss'], ['calcitriol', 'secondary hyperparathyroidism'], ['phosphate', 'secondary hyperparathyroidism'], ['calcitriol', 'vitamin D intoxication'], ['phosphate', 'vitamin D intoxication']]"
High-dose phosphate treatment leads to hypokalemia in hypophosphatemic osteomalacia.,Explanation: Explanation: Explanation: High-dose phosphate treatment caused hypokalemia in hypophosphatemic osteomalacia.</s></s></s>,"[['phosphate', 'hypokalemia']]"
It was concluded that potassium loss occurred by a non-renal (intestinal) route in phosphate-induced hypokalemia.,Explanation: Explanation: Explanation: Phosphate induced hypokalemia and potassium loss by a non-renal (intestinal) route.</s></s></s>,"[['phosphate', 'hypokalemia'], ['phosphate', 'potassium loss']]"
Progressive hypokalemia developed during phosphate treatment.,Explanation: Explanation: Explanation: Progressive hypokalemia developed during phosphate treatment.</s></s></s>,"[['phosphate', 'Progressive hypokalemia']]"
"The mechanism of the decrease in plasma potassium induced by phosphate treatment was investigated in a 24-year-old hypertensive patient with hypophosphatemic osteomalacia, who was the youngest of four patients, belonging to a 23 number kindred of five generations.",Explanation: Explanation: Explanation: Phosphate treatment caused a decrease in plasma potassium in a 24-year-old hypertensive patient with hypophosphatemic osteomalacia.</s></s></s>,"[['phosphate', 'decrease in plasma potassium']]"
Transtubular potassium gradient (TTKG) also decreased and an inverse correlation was found between TTKG and doses of phosphate (r = -0.37; p < 0.02; N = 38).,Explanation: Explanation: Explanation: Phosphate doses were inversely correlated with Transtubular potassium gradient (TTKG) decrease.</s></s></s>,"[['phosphate', 'Transtubular potassium gradient (TTKG) also decreased']]"
"Alveolar-interstitial pneumopathy after gold-salts compounds administration, requiring mechanical ventilation.","Explanation: Explanation: Explanation: Alveolar-interstitial pneumopathy occurred after administration of gold-salts compounds, requiring mechanical ventilation.</s></s></s>","[['gold', 'Alveolar-interstitial pneumopathy']]"
The pulmonary toxicity of gold salts is an uncommon cause of life-threatening respiratory failure.,Explanation: Explanation: Explanation: Pulmonary toxicity and respiratory failure are uncommon causes of life-threatening due to gold salts.</s></s></s>,"[['gold', 'pulmonary toxicity'], ['gold', 'respiratory failure']]"
We report a case of severe respiratory failure due to gold salt toxicity in a patient suffering from rheumatoid arthritis requiring mechanical ventilation.,Explanation: Explanation: Explanation: Gold salt toxicity caused severe respiratory failure in a patient with rheumatoid arthritis.</s></s></s>,"[['gold', 'respiratory failure']]"
"As this relapse coincided with development of a strong delayed-type hypersensitivity response to tuberculin and improved after treatment with the anti-inflammatory agent oxpentifylline, it was probably caused by restoration of pathogen-specific cellular immunity.",Explanation: Explanation: Explanation: A strong delayed-type hypersensitivity response to tuberculin was present and was improved after treatment with oxpentifylline.</s></s></s>,"[['tuberculin', 'hypersensitivity response']]"
"A patient with psoriasis is described who had an abnormal response to the glucose tolerance test without other evidence of diabetes and then developed postprandial hyperglycemia and glycosuria during a period of topical administration of a corticosteroid cream, halcinonide cream 0.1%, under occlusion.",Explanation: Explanation: Explanation: Topical administration of halcinonide cream caused postprandial hyperglycemia and glycosuria in a patient with psoriasis.</s></s></s>,"[['halcinonide', 'glycosuria'], ['halcinonide', 'postprandial hyperglycemia']]"
A second patient with a similar glucose tolerance test result showed postprandial hyperglycemia when treated similarly with betamethasone valerate cream 0.1%.,Explanation: Explanation: Explanation: Betamethasone valerate cream 0.1% caused postprandial hyperglycemia in a patient with a similar glucose tolerance test result.</s></s></s>,"[['betamethasone valerate', 'postprandial hyperglycemia']]"
"After 1 week of nefazodone therapy the patient experienced headache, confusion, and ""gray areas"" in her vision, without abnormal ophthalmologic findings.","Explanation: Explanation: Explanation: Nefazodone therapy caused confusion, gray areas, and headache in the patient without abnormal ophthalmologic findings.</s></s></s>","[['nefazodone', 'confusion'], ['nefazodone', 'gray areas'], ['nefazodone', 'headache']]"
"Coadministration of antidepressant agents such as nefazodone, or any other drug that inhibits the CYP3A4 isoenzyme subfamily, should be anticipated to interfere with tacrolimus metabolism.",Explanation: Explanation: Explanation: Coadministration of nefazodone or any other drug that inhibits the CYP3A4 isoenzyme subfamily should be anticipated to interfere with tacrolimus metabolism.</s></s></s>,"[['nefazodone', 'interfere with tacrolimus metabolism'], ['tacrolimus', 'interfere with tacrolimus metabolism']]"
Interaction between tacrolimus and nefazodone in a stable renal transplant recipient.,Explanation: Explanation: Explanation: Interaction between tacrolimus and nefazodone occurred in a stable renal transplant recipient.</s></s></s>,"[['nefazodone', 'Interaction'], ['tacrolimus', 'Interaction']]"
We suspect that nefazodone inhibits metabolism of tacrolimus.,Explanation: Explanation: Explanation: Nefazodone and tacrolimus are suspected to inhibit each other's metabolism.</s></s></s>,"[['nefazodone', 'inhibits metabolism of tacrolimus'], ['tacrolimus', 'inhibits metabolism of tacrolimus']]"
We report the case of intoxication of a 41-year-old female patient suffering from major depression with mirtazapine complicated by severe hypothermia.,Explanation: Explanation: Explanation: Intoxication occurred in a 41-year-old female patient suffering from major depression with mirtazapine.</s></s></s>,"[['mirtazapine', 'intoxication']]"
CONCLUSION: We report a case of the use of pamidronate for significant hypercalcemia secondary to acute vitamin D poisoning.,"Explanation: Explanation: Explanation: Vitamin D caused acute vitamin D poisoning and hypercalcemia, and pamidronate was used to treat the condition.</s></s></s>","[['vitamin D', 'acute vitamin D poisoning'], ['vitamin D', 'hypercalcemia']]"
Pamidronate therapy should be considered in patients with hypercalcemia secondary to acute vitamin D poisoning.,"Explanation: Explanation: Explanation: Vitamin D poisoning can cause hypercalcemia, and pamidronate therapy should be considered for such patients.</s></s></s>","[['vitamin D', 'acute vitamin D poisoning'], ['vitamin D', 'hypercalcemia']]"
The patient was initially treated with hydration and furosemide but developed congestive heart failure.,Explanation: Explanation: Explanation: Furosemide caused congestive heart failure in the patient.</s></s></s>,"[['furosemide', 'congestive heart failure']]"
The use of pamidronate for hypercalcemia secondary to acute vitamin D intoxication.,Explanation: Explanation: Explanation: Vitamin D intoxication was treated with pamidronate.</s></s></s>,"[['vitamin D', 'vitamin D intoxication']]"
"We report the use of pamidronate for acute, severe hypercalcemia secondary to iatrogenic vitamin D poisoning.","Explanation: Explanation: Explanation: Vitamin D caused severe hypercalcemia and vitamin D poisoning, which was treated with pamidronate.</s></s></s>","[['vitamin D', 'severe hypercalcemia'], ['vitamin D', 'vitamin D poisoning']]"
A 40-year-old man with a long standing history of rheumatoid arthritis was treated with MTX over a 6 month period and developed an overwhelming hepatic necrosis.,Explanation: Explanation: Explanation: Treatment with MTX over a 6 month period caused overwhelming hepatic necrosis in a patient with rheumatoid arthritis.</s></s></s>,"[['MTX', 'overwhelming hepatic necrosis']]"
Methotrexate-induced hepatic necrosis requiring liver transplantation in a patient with rheumatoid arthritis.,"Explanation: Explanation: Explanation: Methotrexate caused hepatic necrosis in a patient with rheumatoid arthritis, requiring liver transplantation.</s></s></s>","[['Methotrexate', 'hepatic necrosis']]"
"MTX-induced hepatic injury and liver enzyme elevations have been demonstrated after treatment of leukemia, gestational disease and during treatment of psoriasis and rheumatoid arthritis.","Explanation: Explanation: Explanation: MTX caused hepatic injury and liver enzyme elevations after treatment of leukemia, gestational disease, psoriasis and rheumatoid arthritis.</s></s></s>","[['MTX', 'hepatic injury'], ['MTX', 'liver enzyme elevations']]"
