input,relations,prefix,gold_relations
skin necrosis secondary to low-molecular weight heparin in a patient with antiphospholipid antibody syndrome.,"[['low-molecular weight heparin', 'skin necrosis']]",ADE,"[['low-molecular weight heparin', 'skin necrosis']]"
sle receded after withdrawal of carbamazepine and treatment with anti-inflammatory drugs.,"[['carbamazepine', 'sle']]",ADE,"[['carbamazepine', 'sle']]"
"sodium valproate and carbamazepine, antiepileptic drugs that are associated with a relatively low rate of adverse cutaneous reactions, should be added to the growing list of drugs that produce psoriasiform eruptions.","[['carbamazepine', 'psoriasiform eruptions'], ['sodium valproate', 'psoriasiform eruptions']]",ADE,"[['carbamazepine', 'psoriasiform eruptions'], ['sodium valproate', 'psoriasiform eruptions']]"
spindle coma in benzodiazepine toxicity: case report.,"[['benzodiazepine', 'spindle coma']]",ADE,"[['benzodiazepine', 'spindle coma']]"
stevens-johnson syndrome in a boy with nephrotic syndrome during prednisolone therapy.,"[['prednisolone', 'stevens-johnson syndrome']]",ADE,"[['prednisolone', 'stevens-johnson syndrome']]"
study design: case reports are presented of three premature infants (mean gestational age 27 weeks) cared for in the intensive care nursery in whom clinically significant septal hypertrophy and left ventricular outflow tract obstruction developed during dexamethasone treatment for bronchopulmonary dysplasia.,"[['dexamethasone', 'left ventricular outflow tract obstruction'], ['dexamethasone', 'septal hypertrophy']]",ADE,"[['dexamethasone', 'left ventricular outflow tract obstruction'], ['dexamethasone', 'septal hypertrophy']]"
stupor from lamotrigine toxicity.,"[['lamotrigine', 'stupor']]",ADE,"[['lamotrigine', 'stupor']]"
"subcutaneous il-2 is safe and well tolerated, with a mortality rate <3%.","[['il-2', 'mortality']]",ADE,"[['il-2', 'mortality rate <3']]"
subsequent course: the nephrosis resolved almost completely once the interferon was stopped and after immunosuppressive treatment.,"[['interferon', 'nephrosis']]",ADE,"[['interferon', 'nephrosis']]"
successful desensitization to high-dose methotrexate after systemic anaphylaxis.,"[['methotrexate', 'anaphylaxis']]",ADE,"[['methotrexate', 'systemic anaphylaxis']]"
such a case induced by hypothyroidism complicating long-term therapy with amiodarone in a 45 year old woman with pre-excitation is presented.,"[['amiodarone', 'hypothyroidism']]",ADE,"[['amiodarone', 'hypothyroidism']]"
"such a rapid and relentless progression of methyldopa-induced liver injury is undoubtedly rare, but it may be prevented by careful supervision of patients who exhibit liver function abnormalities early in the course of therapy.","[['methyldopa', 'liver injury']]",ADE,"[['methyldopa', 'liver injury']]"
sustained ventricular tachycardia in a thalidomide-treated patient with primary plasma-cell leukemia.,"[['thalidomide', 'sustained ventricular tachycardia']]",ADE,"[['thalidomide', 'sustained ventricular tachycardia']]"
syncope induced by propranolol in hypertrophic cardiomyopathy.,"[['propranolol', 'syncope']]",ADE,"[['propranolol', 'syncope']]"
systemic lupus erythematosus during penicillamine therapy for rheumatoid arthritis.,"[['penicillamine', 'systemic lupus erythematosus']]",ADE,"[['penicillamine', 'systemic lupus erythematosus']]"
tamoxifen retinopathy.,"[['tamoxifen', 'retinopathy']]",ADE,"[['tamoxifen', 'retinopathy']]"
telescoped digits of the hands and feet developed in a 69-year-old male with severe chronic tophaceous gout during allopurinol treatment.,"[['allopurinol', 'telescoped digits']]",ADE,"[['allopurinol', 'telescoped digits of the hands and feet']]"
tenofovir-associated nephrotoxicity in two hiv-infected adolescent males.,"[['tenofovir', 'nephrotoxicity']]",ADE,"[['tenofovir', 'nephrotoxicity']]"
"that review suggested that patients receiving anti-d igiv be monitored for those and other potential complications of hemoglobinemia, particularly disseminated intravascular coagulation (dic).","[['anti-d igiv', 'disseminated intravascular coagulation (dic)'], ['anti-d igiv', 'disseminated intravascular coagulation (dic)'], ['anti-d igiv', 'hemoglobinemia']]",ADE,"[['anti-d igiv', 'dic'], ['anti-d igiv', 'disseminated intravascular coagulation'], ['anti-d igiv', 'hemoglobinemia']]"
the 3-week sulphasalazine syndrome strikes again.,"[['sulphasalazine', 'the 3-week sulphasalazine syndrome']]",ADE,"[['sulphasalazine', 'sulphasalazine syndrome']]"
the allopurinol hypersensitivity syndrome is a rare adverse drug reaction.,"[['allopurinol', 'hypersensitivity syndrome']]",ADE,"[['allopurinol', 'hypersensitivity syndrome']]"
the authors describe a case of valvular heart disease in a 48-year-old woman receiving benfluorex (150 mg t.i.d. for 8 years) and leading to surgical mitral valve replacement.,"[['benfluorex', 'valvular heart disease']]",ADE,"[['benfluorex', 'valvular heart disease']]"
"the authors describe a woman with chronic schizophrenia who experienced delirium, grand mal seizure, and photosensitivity after the addition of propranolol to her neuroleptic regimen.","[['propranolol', 'delirium'], ['propranolol', 'grand mal seizure'], ['propranolol', 'photosensitivity']]",ADE,"[['propranolol', 'delirium'], ['propranolol', 'grand mal seizure'], ['propranolol', 'photosensitivity']]"
"the authors present a case of t-aml that developed in a child with metastatic neuroblastoma 18 months after he received oral etoposide, given for palliation purpose.","[['etoposide', 't-aml']]",ADE,"[['etoposide', 't-aml']]"
the authors report a case of a patient who received alteplase for acute myocardial infarction and developed spontaneous subfascial hematoma without any evidence of direct trauma.,"[['alteplase', 'spontaneous subfascial hematoma']]",ADE,"[['alteplase', 'subfascial hematoma']]"
the authors report a further case of methimazole-associated liver damage and present a brief review of eleven previous cases found in the literature.,"[['methimazole', 'liver damage']]",ADE,"[['methimazole', 'liver damage']]"
the authors report on two patients with corneal ulcers refractory to conventional treatment while the patients were undergoing oral colchicine therapy.,"[['colchicine', 'corneal ulcers']]",ADE,"[['colchicine', 'corneal ulcers refractory to conventional treatment']]"
"the case history confirms that gold treatment, even in the same patient, can give rise to a wide range of skin disturbances, which in many cases do not break out until long after the drug has been withdrawn.","[['gold', 'skin disturbances']]",ADE,"[['gold', 'skin disturbances']]"
the case is presented of a 72-year-old man with hormone-refractory prostate cancer and weekly administration of 30 mg/m2 docetaxel who developed subacute interstitial pneumonitis-related pulmonary fibrosis after seven doses and died despite mechanical ventilation and high-dose corticosteroid treatment.,"[['docetaxel', 'pulmonary fibrosis']]",ADE,"[['docetaxel', 'subacute interstitial pneumonitis-related pulmonary fibrosis']]"
"the cases are important in documenting that drug-induced dystonias do occur in patients with dementia, that risperidone appears to have contributed to dystonia among elderly patients, and that the categorization of dystonic reactions needs further clarification.","[['risperidone', 'dystonia']]",ADE,"[['risperidone', 'dystonia']]"
the changes were progressive regardless of discontinuation of cyclophosphamide and led to severe restrictive ventilatory defect.,"[['cyclophosphamide', 'restrictive ventilatory defect']]",ADE,"[['cyclophosphamide', 'severe restrictive ventilatory defect']]"
"the clinical course suggested that recombinant alpha-2b peginterferon plus ribavirin provoked type 1 diabetes mellitus, therefore, in patients who are candidates for interferon therapy the presence of pancreatic autoantibodies and the fasting plasma glucose level should be investigated before and during treatment.","[['peginterferon', 'type 1 diabetes mellitus'], ['ribavirin', 'type 1 diabetes mellitus']]",ADE,"[['recombinant alpha-2b peginterferon', 'type 1 diabetes mellitus'], ['ribavirin', 'type 1 diabetes mellitus']]"
the clinical findings and laboratory studies suggested an autoimmune cell-mediated hypersensitivity reaction triggered by phenobarbital.,"[['phenobarbital', 'autoimmune cell-mediated hypersensitivity reaction']]",ADE,"[['phenobarbital', 'autoimmune cell-mediated hypersensitivity']]"
the clinical picture was identical to that of chloroquine and hydroxychloroquine maculopathy.,"[['chloroquine', 'maculopathy'], ['hydroxychloroquine', 'maculopathy']]",ADE,"[['chloroquine', 'maculopathy'], ['hydroxychloroquine', 'maculopathy']]"
"the day after methotrexate administration, the patient complained of severe back pain and urinary retention.","[['methotrexate', 'back pain'], ['methotrexate', 'urinary retention']]",ADE,"[['methotrexate', 'severe back pain'], ['methotrexate', 'urinary retention']]"
the exophthalmos improved dramatically within 72 hours of the withdrawal of lithium.,"[['lithium', 'exophthalmos']]",ADE,"[['lithium', 'exophthalmos']]"
"the first known report of quetiapine exacerbating ocs in a 43-year-old man with obsessive-compulsive disorder (ocd), trichotillomania, delusional disorder and bipolar ii disorder is presented.","[['quetiapine', 'ocs']]",ADE,"[['quetiapine', 'exacerbating ocs']]"
the following is a case report analysis intended to draw attention to the need for better care coordination by describing the observed relationship of olanzapine to metabolic changes manifested as uncontrolled diabetes mellitus and weight gain.,"[['olanzapine', 'uncontrolled diabetes mellitus'], ['olanzapine', 'weight gain']]",ADE,"[['olanzapine', 'uncontrolled diabetes mellitus'], ['olanzapine', 'weight gain']]"
the fourth patient showed rls symptoms that were initially caused by a 20-mg daily olanzapine dosage and were later mitigated when olanzapine was reduced and ropinirole was administered.,"[['olanzapine', 'rls symptoms']]",ADE,"[['olanzapine', 'rls symptoms']]"
the hepatic enzyme disturbances normalized after discontinuation of pegvisomant.,"[['pegvisomant', 'hepatic enzyme disturbances']]",ADE,"[['pegvisomant', 'hepatic enzyme disturbances']]"
the hiv protease inhibitor indinavir may cause nephrolithiasis and interstitial nephritis.,"[['indinavir', 'interstitial nephritis'], ['indinavir', 'nephrolithiasis']]",ADE,"[['indinavir', 'interstitial nephritis'], ['indinavir', 'nephrolithiasis']]"
the hospital course of the acute renal failure is presented with a review of the literature on cases of acute renal failure after ivig.,"[['ivig', 'acute renal failure']]",ADE,"[['ivig', 'acute renal failure']]"
the increased libido disappeared after fluvoxamine was discontinued.,"[['fluvoxamine', 'increased libido']]",ADE,"[['fluvoxamine', 'increased libido']]"
the induction of hypoglycaemia with pas in this patient suggests a potential role for pas in the treatment of diabetes mellitus.,"[['pas', 'hypoglycaemia']]",ADE,"[['pas', 'hypoglycaemia']]"
"the knowledge concerning vgb-associated visual dysfunction in pediatric patients, particularly in those who have been exposed to vgb in utero is limited.","[['vgb', 'visual dysfunction']]",ADE,"[['vgb', 'visual dysfunction']]"
the literature on thiabendazole-induced cholestasis and its association with sicca complex is reviewed.,"[['thiabendazole', 'cholestasis'], ['thiabendazole', 'sicca complex']]",ADE,"[['thiabendazole', 'cholestasis'], ['thiabendazole', 'sicca complex']]"
the literature search found 12 cases of radiation recall caused by gemcitabine.,"[['gemcitabine', 'radiation recall']]",ADE,"[['gemcitabine', 'radiation recall']]"
"the mechanism of the decrease in plasma potassium induced by phosphate treatment was investigated in a 24-year-old hypertensive patient with hypophosphatemic osteomalacia, who was the youngest of four patients, belonging to a 23 number kindred of five generations.","[['phosphate', 'decrease in plasma potassium']]",ADE,"[['phosphate', 'decrease in plasma potassium']]"
"the more common grade 3 or 4 adverse effects of sunitinib include hypertension, fatigue, hand-foot syndrome, elevated lipase and lymphopenia.","[['sunitinib', 'elevated lipase'], ['sunitinib', 'fatigue'], ['sunitinib', 'hand-foot syndrome'], ['sunitinib', 'hypertension'], ['sunitinib', 'lymphopenia']]",ADE,"[['sunitinib', 'elevated lipase'], ['sunitinib', 'fatigue'], ['sunitinib', 'hand-foot syndrome'], ['sunitinib', 'hypertension'], ['sunitinib', 'lymphopenia']]"
"the most commonly recognized toxic effect of ethambutol is optic neuropathy, which generally is considered uncommon and reversible in medical literature.","[['ethambutol', 'optic neuropathy']]",ADE,"[['ethambutol', 'optic neuropathy']]"
"the most serious dental side effect of bisphosphonate treatment (particularly when it is administered intravenously) is, paradoxically, osteonecrosis of the mandible or the maxilla represented by exposed nonhealing bone.","[['bisphosphonate', 'osteonecrosis']]",ADE,"[['bisphosphonate', 'osteonecrosis of the mandible']]"
the nephrotic syndrome developed in a patient receiving therapy with gold for rheumatoid arthritis.,"[['gold', 'nephrotic syndrome']]",ADE,"[['gold', 'nephrotic syndrome']]"
the neurotoxicity seen with hdarac is dose-related and has occurred in up to 60 percent of treated patients.,"[['hdarac', 'neurotoxicity']]",ADE,"[['hdarac', 'neurotoxicity']]"
the observation of cutaneous vasculitis during administration of propylthiouracil suggested that clinical awareness of this complication should be of considerable importance.,"[['propylthiouracil', 'cutaneous vasculitis']]",ADE,"[['propylthiouracil', 'cutaneous vasculitis']]"
the occurrence of severe aiha in cll patients treated with fludarabine has been reported by several authors.,"[['fludarabine', 'severe aiha']]",ADE,"[['fludarabine', 'aiha']]"
the oligohidrosis caused by zonisamide was reversible in that the patient regained the ability to sweat within 2 weeks of the cessation of drug administration.,"[['zonisamide', 'oligohidrosis']]",ADE,"[['zonisamide', 'oligohidrosis']]"
the patient described in this paper was a 78-year-old diabetic man who developed oral lesions of pv following institution of glibenclamide therapy.,"[['glibenclamide', 'oral lesions of pv']]",ADE,"[['glibenclamide', 'oral lesions of pv']]"
the patient was initially treated with hydration and furosemide but developed congestive heart failure.,"[['furosemide', 'congestive heart failure']]",ADE,"[['furosemide', 'congestive heart failure']]"
the pharmacology and toxicology of chloral hydrate are discussed with particular reference to the cardiac arrhythmias that are seen with overdosage.,"[['chloral hydrate', 'cardiac arrhythmias']]",ADE,"[['chloral hydrate', 'cardiac arrhythmias']]"
the photosensitivity is still present 3 years after the withdrawal of quinine.,"[['quinine', 'photosensitivity']]",ADE,"[['quinine', 'photosensitivity']]"
"the possibility of deep vein thrombosis caused by the compression of the veins by necrotic tumor should be considered in patients with abdominal or pelvic metastases of gist, including patients treated with imatinib.","[['imatinib', 'deep vein thrombosis']]",ADE,"[['imatinib', 'deep vein thrombosis']]"
the purpose of this review is to increase awareness among physicians and other health care professionals that dic may be a rare but potentially severe complication of anti-d igiv treatment.,"[['anti-d igiv', 'dic']]",ADE,"[['anti-d igiv', 'dic']]"
"the renal biopsy showed focal segmental glomerulosclerosis, which has only been previously reported in two cases of cml treated with ifnalpha.","[['ifnalpha', 'focal segmental glomerulosclerosis']]",ADE,"[['ifnalpha', 'focal segmental glomerulosclerosis']]"
the reported case represents an unusual association between medication with the proton pump inhibitor lansoprazole and the development of collagenous colitis suggesting the importance of evaluation of drug use in patients with microscopic colitis.,"[['lansoprazole', 'collagenous colitis']]",ADE,"[['lansoprazole', 'collagenous colitis']]"
the second is a 29-year-old man with cd in whom nodular sclerosing hodgkin's lymphoma was diagnosed 3 weeks after infusion with infliximab.,"[['infliximab', ""nodular sclerosing hodgkin's lymphoma""]]",ADE,"[['infliximab', ""nodular sclerosing hodgkin's lymphoma""]]"
the spectrum of nitrofurantoin lung injury continues to widen.,"[['nitrofurantoin', 'lung injury']]",ADE,"[['nitrofurantoin', 'lung injury']]"
the time course of events suggested that amphotericin b was the cause of the seizures in this aids patient.,"[['amphotericin b', 'seizures']]",ADE,"[['amphotericin b', 'seizures']]"
"there have been numerous case reports of hyperglycemia with olanzapine in the literature, but none reported hyperglycemia within days of initiation of the medication.","[['olanzapine', 'hyperglycemia']]",ADE,"[['olanzapine', 'hyperglycemia']]"
there is a putative role of liothyronine administration in precipitating or activating hyperthyroidism.,"[['liothyronine', 'hyperthyroidism']]",ADE,"[['liothyronine', 'hyperthyroidism']]"
"there is evidence that the angiotensin ii receptor antagonist, losartan, increases urate excretion by reducing reabsorption of urate in the renal proximal tubule.","[['losartan', 'urate excretion']]",ADE,"[['losartan', 'increases urate excretion']]"
there was a clear relationship between restarting the accutane and recurrence of the transient myopia.,"[['accutane', 'transient myopia']]",ADE,"[['accutane', 'transient myopia']]"
"therefore, parenteral amiodarone was implicated as the cause of acute hepatitis in this patient.","[['amiodarone', 'acute hepatitis']]",ADE,"[['amiodarone', 'acute hepatitis']]"
these case reports provide evidence that 5-aminosalicylic acid may induce acute pancreatitis after long term treatment.,"[['5-aminosalicylic acid', 'acute pancreatitis']]",ADE,"[['5-aminosalicylic acid', 'acute pancreatitis']]"
"these cases and a review of the literature suggested that hepatotoxicity, though rare, should be added to the list of adverse reactions to d-penicillamine.","[['d-penicillamine', 'hepatotoxicity']]",ADE,"[['d-penicillamine', 'hepatotoxicity']]"
these nail changes gradually disappeared when the dose of clofazimine was reduced.,"[['clofazimine', 'nail changes']]",ADE,"[['clofazimine', 'nail changes']]"
these results indicate that lithium may cause biochemical hyperparathyroidism.,"[['lithium', 'biochemical hyperparathyroidism']]",ADE,"[['lithium', 'biochemical hyperparathyroidism']]"
these two cases highlight the importance of considering lopinavir/ritonavir induced arrhythmias when dealing with hiv-positive individuals.,"[['lopinavir/ritonavir', 'arrhythmias'], ['lopinavir/ritonavir', 'arrhythmias']]",ADE,"[['lopinavir', 'arrhythmias'], ['ritonavir', 'arrhythmias']]"
this case and other published evidence should alert physicians to the possibility of fatal erlotinib-induced ild.,"[['erlotinib', 'ild']]",ADE,"[['erlotinib', 'ild']]"
this case illustrates that the hemophagocytic syndrome associated with reactivation of ebv can occur as part of drug hypersensitivity reactions in ra patients taking sulfasalazine.,"[['sulfasalazine', 'hemophagocytic syndrome']]",ADE,"[['sulfasalazine', 'hemophagocytic syndrome']]"
this case report illustrates the use of continuous high-dose intracoronary nitroglycerin infusion through a 6 french coronary guiding catheter in the treatment of a patient with cocaine-induced refractory coronary vasospasm.,"[['cocaine', 'coronary vasospasm']]",ADE,"[['cocaine', 'refractory coronary vasospasm']]"
this case represents the third example of erythroid aplasia associated with an anti-inflammatory agent and the first instance due to fenoprofen.,"[['fenoprofen', 'erythroid aplasia']]",ADE,"[['fenoprofen', 'erythroid aplasia']]"
this case supports the assessment that mh and diabetes are associated diseases and that cresol could possibly trigger mh.,"[['cresol', 'mh']]",ADE,"[['cresol', 'mh']]"
"this eruption emerged after 1 month of therapy with salsalate, persisted for as long as salsalate was administered, and cleared within 3 weeks of discontinuing the medication.","[['salsalate', 'eruption']]",ADE,"[['salsalate', 'eruption']]"
this is a case report of fatal cryptococcal meningitis in a child with systemic lupus erythematosus being treated with prednisolone and azathioprine.,"[['azathioprine', 'fatal cryptococcal meningitis'], ['prednisolone', 'fatal cryptococcal meningitis']]",ADE,"[['azathioprine', 'cryptococcal meningitis'], ['prednisolone', 'cryptococcal meningitis']]"
this is a report of a case of anuric arf after high-dose mannitol infusion for treatment of narrow-angle glaucoma that readily responded to acute hemodialysis.,"[['mannitol', 'anuric arf']]",ADE,"[['mannitol', 'anuric arf']]"
this is the first histologically confirmed case of nash that was aggravated by raloxifene.,"[['raloxifene', 'nash']]",ADE,"[['raloxifene', 'nash']]"
this is the first reported case of hepatolithiasis during octreotide therapy.,"[['octreotide', 'hepatolithiasis']]",ADE,"[['octreotide', 'hepatolithiasis']]"
this report describes a 13-year-old female with a right frontal high-grade glioma and complex partial seizures who developed localized purpura after 23 months of lamotrigine monotherapy.,"[['lamotrigine', 'localized purpura']]",ADE,"[['lamotrigine', 'localized purpura']]"
this report describes a case of bilateral ptosis induced by chloroquine.,"[['chloroquine', 'bilateral ptosis']]",ADE,"[['chloroquine', 'bilateral ptosis']]"
this report describes a case of neuroleptic malignant syndrome due to risperidone in a child with joubert syndrome.,"[['risperidone', 'neuroleptic malignant syndrome']]",ADE,"[['risperidone', 'neuroleptic malignant syndrome']]"
"this report describes an individual with mental retardation who experienced behavioral exacerbation associated with clonazepam prescribed at 2 mg/day (0.02 mg/kg/day) to treat aggression, self-injurious behavior, property destruction, and screaming, which was measured with a 15-minute partial interval recording measurement method.","[['clonazepam', 'behavioral exacerbation']]",ADE,"[['clonazepam', 'behavioral exacerbation']]"
this report highlights a case of drug-induced dysphagia in a patient receiving haloperidol for obsessive nocturnal thoughts and auditory disturbances.,"[['haloperidol', 'dysphagia']]",ADE,"[['haloperidol', 'dysphagia']]"
this report presents a potential case of risperidone-induced tardive dyskinesia.,"[['risperidone', 'tardive dyskinesia']]",ADE,"[['risperidone', 'tardive dyskinesia']]"
this supports the well-reported potential of bleomycin to trigger acral vascular toxicity.,"[['bleomycin', 'acral vascular toxicity']]",ADE,"[['bleomycin', 'acral vascular toxicity']]"
this therapy was also complicated by warfarin-induced skin necrosis.,"[['warfarin', 'skin necrosis']]",ADE,"[['warfarin', 'skin necrosis']]"
this was accepted as evidence for propranolol being the cause of this conduction disorder.,"[['propranolol', 'conduction disorder']]",ADE,"[['propranolol', 'conduction disorder']]"
"though they are generally considered safe, there have been a few reports of myocardial infarction and stroke associated with triptan use.","[['triptan', 'myocardial infarction'], ['triptan', 'stroke']]",ADE,"[['triptan', 'myocardial infarction'], ['triptan', 'stroke']]"
three cases of gold-related neuropathy are reported.,"[['gold', 'neuropathy']]",ADE,"[['gold', 'neuropathy']]"
three diabetic cases of acute dizziness due to initial administration of voglibose.,"[['voglibose', 'dizziness']]",ADE,"[['voglibose', 'acute dizziness']]"
"three months following splenectomy, multiple abscesses occurred in the muscles of both thighs while the patient was receiving the third course of the chop regimen.","[['chop regimen', 'abscesses']]",ADE,"[['chop', 'multiple abscesses']]"
"three patients received respectively 190 mg, 175 mg, and 196 mg of methotrexate and developed bilateral pulmonary infiltrates without evidence of peripheral blood eosinophilia.","[['methotrexate', 'pulmonary infiltrates']]",ADE,"[['methotrexate', 'bilateral pulmonary infiltrates']]"
three patients with no history of asthma or allergy developed bronchospasm while taking propranolol for hypertension.,"[['propranolol', 'bronchospasm']]",ADE,"[['propranolol', 'bronchospasm']]"
three senile patients developed fatal acute encephalopathy while receiving calcium hopantenate.,"[['calcium hopantenate', 'acute encephalopathy']]",ADE,"[['calcium hopantenate', 'fatal acute encephalopathy']]"
"thus, clinical recognition of sleep disordered breathing should be taken into account when rheumatoid arthritis patients are to be treated with infliximab.","[['infliximab', 'sleep disordered breathing']]",ADE,"[['infliximab', 'sleep disordered breathing']]"
"thus, the possible in vivo effects of insulin on adipocytes were clearly observed in this case of insulin-induced lipohypertrophy.","[['insulin', 'lipohypertrophy']]",ADE,"[['insulin', 'lipohypertrophy']]"
"tiagabine overdose causes an unusual array of neurological symptoms, many similar to reported adverse effects during therapeutic use.","[['tiagabine', 'unusual array of neurological symptoms']]",ADE,"[['tiagabine', 'unusual array of neurological symptoms']]"
tigecycline-induced acute pancreatitis: case report and literature review.,"[['tigecycline', 'acute pancreatitis']]",ADE,"[['tigecycline', 'acute pancreatitis']]"
"to our knowledge, drug-induced fever has not been reported with the use of diltiazem hydrochloride, a commonly prescribed calcium channel blocker.","[['diltiazem hydrochloride', 'drug-induced fever']]",ADE,"[['diltiazem hydrochloride', 'fever']]"
"to our knowledge, four cases of interstitial pneumonitis associated with fludarabine have been reported in medical literature.","[['fludarabine', 'interstitial pneumonitis']]",ADE,"[['fludarabine', 'interstitial pneumonitis']]"
"to our knowledge, this is the first case of spontaneous remission of mtx-associated gastric lpd after discontinuation of mtx therapy.","[['mtx', 'gastric lpd']]",ADE,"[['mtx', 'gastric lpd']]"
"to our knowledge, this is the first case reported in the english literature of a generalized exanthem due to subcutaneous injection of enoxaparin.","[['enoxaparin', 'generalized exanthem']]",ADE,"[['enoxaparin', 'generalized exanthem']]"
"to our knowledge, this is the first report of insulin-induced lipohypertrophy with detailed histological examinations.","[['insulin', 'lipohypertrophy']]",ADE,"[['insulin', 'lipohypertrophy']]"
"to our knowledge, this recurrence of amiodarone pulmonary toxicity has not been reported previously.","[['amiodarone', 'pulmonary toxicity']]",ADE,"[['amiodarone', 'pulmonary toxicity']]"
"to the best of our knowledge, this is the first reported patient with captopril-induced pemphigus in whom no new lesions developed after subsequent treatment with enalapril.","[['captopril', 'pemphigus']]",ADE,"[['captopril', 'pemphigus']]"
torsade de pointes represents a potential complication of chronic amiodarone therapy.,"[['amiodarone', 'torsade de pointes']]",ADE,"[['amiodarone', 'torsade de pointes']]"
"toxicity, pharmacokinetics, and in vitro hemodialysis clearance of ifosfamide and metabolites in an anephric pediatric patient with wilms' tumor.","[['ifosfamide', 'toxicity']]",ADE,"[['ifosfamide', 'toxicity']]"
transient asymptomatic bradycardia in patients on infusional 5-fluorouracil.,"[['5-fluorouracil', 'bradycardia']]",ADE,"[['5-fluorouracil', 'transient asymptomatic bradycardia']]"
transient hemiparesis caused by phenytoin toxicity.,"[['phenytoin', 'hemiparesis']]",ADE,"[['phenytoin', 'transient hemiparesis']]"
transient leucopenia and thrombocytopenia associated with sodium nitroprusside infusion.,"[['sodium nitroprusside', 'leucopenia'], ['sodium nitroprusside', 'thrombocytopenia']]",ADE,"[['sodium nitroprusside', 'leucopenia'], ['sodium nitroprusside', 'thrombocytopenia']]"
tumor-volume increase at beginning of primary treatment with topical interferon alpha 2-beta in a case of conjunctiva-cornea intraepithelial neoplasia.,"[['interferon alpha 2-beta', 'tumor-volume increase']]",ADE,"[['interferon alpha 2-beta', 'tumor-volume increase']]"
"two other patients who did not receive prochlorperazine, developed retinal problems which later improved, one after only 15 g of desferrioxamine.","[['desferrioxamine', 'retinal problems']]",ADE,"[['desferrioxamine', 'retinal problems']]"
two patients with bipolar affective disorder and a history of bronchospastic phenomena experienced tremor during lithium carbonate therapy.,"[['lithium carbonate', 'tremor']]",ADE,"[['lithium carbonate', 'tremor']]"
two patients with rheumatoid arthritis developed evidence of hepatotoxicity while receiving d-penicillamine.,"[['d-penicillamine', 'hepatotoxicity']]",ADE,"[['d-penicillamine', 'hepatotoxicity']]"
"typical symptoms of active cd occurred 11, 12, and 26 months after start of etanercept therapy, respectively.","[['etanercept', 'typical symptoms of active cd']]",ADE,"[['etanercept', 'cd']]"
unaccountable severe hypercalcemia in a patient treated for hypoparathyroidism with dihydrotachysterol.,"[['dihydrotachysterol', 'severe hypercalcemia']]",ADE,"[['dihydrotachysterol', 'hypercalcemia']]"
unique behavioral change with cinepazide in parkinsonism.,"[['cinepazide', 'unique behavioral change']]",ADE,"[['cinepazide', 'behavioral change']]"
valproate embryopathy in three sets of siblings: further proof of hereditary susceptibility.,"[['valproate', 'embryopathy']]",ADE,"[['valproate', 'valproate embryopathy']]"
valproic acid induced coma is presented in an adult patient without a history of metabolic disease.,"[['valproic acid', 'coma']]",ADE,"[['valproic acid', 'coma']]"
verapamil in effort-induced angina pectoris in patients with normal coronary arteries.,"[['verapamil', 'effort-induced angina pectoris']]",ADE,"[['verapamil', 'angina pectoris']]"
vigabatrin-induced visual field defects are at present the most important safety issue in the use of the drug.,"[['vigabatrin', 'visual field defects']]",ADE,"[['vigabatrin', 'visual field defects']]"
vincristine induced cranial polyneuropathy.,"[['vincristine', 'cranial polyneuropathy']]",ADE,"[['vincristine', 'cranial polyneuropathy']]"
vocal cord paralysis as a consequence of peritonsillar infiltration with bupivacaine.,"[['bupivacaine', 'vocal cord paralysis']]",ADE,"[['bupivacaine', 'vocal cord paralysis']]"
warfarin-associated bleeding complication saved life.,"[['warfarin', 'bleeding complication']]",ADE,"[['warfarin', 'bleeding']]"
"we also describe a new, noninvasive method to assess magnesium-induced neuromuscular block when curariform muscle relaxant was given simultaneously.","[['magnesium', 'neuromuscular block']]",ADE,"[['magnesium', 'neuromuscular block']]"
we attribute the clinical and radiographic findings to cytotoxic edema secondary to intrathecal methotrexate.,"[['methotrexate', 'cytotoxic edema']]",ADE,"[['methotrexate', 'cytotoxic edema']]"
we believe that the acute renal failure in our patient was associated with anastrozole.,"[['anastrozole', 'acute renal failure']]",ADE,"[['anastrozole', 'acute renal failure']]"
we conclude that mb is an effective treatment for ifosfamide-induced encephalopathy.,"[['ifosfamide', 'encephalopathy']]",ADE,"[['ifosfamide', 'ifosfamide-induced encephalopathy']]"
"we describe 2 male patients, a 49-year-old with psoriatic arthritis and impaired renal function and a 43-year-old renal transplant recipient, who both sustained a marked decline in glomerular filtration rate in conjunction with a selective inhibitor of cyclooxygenase-2 (cox-2), rofecoxib.","[['rofecoxib', 'decline in glomerular filtration rate']]",ADE,"[['rofecoxib', 'decline in glomerular filtration rate']]"
we describe 3 as patients treated with etanercept for active as who developed new onset of cd while as related symptoms responded well to etanercept.,"[['etanercept', 'cd']]",ADE,"[['etanercept', 'cd']]"
we describe a case of ege manifested as an allergy to gemfibrozil.,"[['gemfibrozil', 'ege']]",ADE,"[['gemfibrozil', 'ege']]"
we describe a case of infection with mycobacterium abscessus in a 67-year-old woman receiving infliximab as a component of her therapy for ra.,"[['infliximab', 'mycobacterium abscessus infection']]",ADE,"[['infliximab', 'mycobacterium abscessus']]"
we describe a case of life-threatening hyponatremia associated with sibutramine use in an obese woman.,"[['sibutramine', 'hyponatremia']]",ADE,"[['sibutramine', 'hyponatremia']]"
