input,response
"With the increasing use of Cyclosporine A in transplant patients, the incidence of herpes esophagitis may increase.","[[""cyclosporine A"",""increased incidence of herpes esophagitis""]]"
"Paralytic ileus in patients undergoing bortezomib treatment has been reported, although a definite attribution to bortezomib administration has not been established.","[[""bortezomib"",""paralytic ileus""]]"
After discontinuation of danazol the diabetes completely resolved.,"[[""danazol"",""diabetes""]]"
Minocycline as a cause of drug-induced autoimmune hepatitis.,"[[""minocycline"",""drug-induced autoimmune hepatitis""]]"
"CONCLUSIONS: Because of its structural similarity to the other vinca alkaloids, vinorelbine is believed to be responsible for SIADH in our patient.","[[""vinorelbine"",""SIADH""]]"
We present four cases in which the use of heparin was associated with hyperkalemia and discuss the pathophysiology.,"[[""hyperkalemia""], [""heparin""], [""hyperkalemia""], [""heparin""], [""hyperkalemia""], [""heparin""], [""hyperkalemia""], [""heparin""], [""hyperkalemia""], [""heparin""], [""hyperkalemia""], [""heparin""], [""hyperkalemia""], [""heparin""], [""hyperkalemia""], [""heparin""], [""hyperkalemia""], [""heparin""], [""hyperkalemia""], [""heparin""], [""hyperkalemia""], [""heparin""], [""hyperkalemia""], [""heparin""], [""hyperkalemia""], [""heparin""], [""hyp"
Corneal edema recurred when the administration of amantadine was resumed.,"[[""amantadine"",""corneal edema""]]"
Choanal atresia and athelia: methimazole teratogenicity or a new syndrome?,"[[""cholanal atresia""], [""athelia""], [""methimazole""]]"
CONCLUSION: The present findings suggest that fluvoxamine can cause increased libido in some patients.,"[[""fluvoxamine"",""increased libido""]]"
"Finally, reserpine toxicity, in particular central nervous system (CNS) disturbances, was reported more frequently in patients also receiving barbiturates, suggesting additive CNS effects.","[[""reserpine"",""central nervous system (CNS) disturbances""]]"
An elderly man with procainamide hydrochloride-induced lupus syndrome had a circulating anticoagulant against factor XI and a biologic false-positive (BFP) test result for syphilis.,"[[""procainamide hydrochloride"",""lupus syndrome""]]"
"Replicate brain magnetic resonance imaging examinations after six weeks and 11 months of penicillamine therapy documented the development of new brain lesions during this period, while liver biopsy specimen data disclosed that excellent hepatic decoppering had occurred.","[[""Penicillamine"",""liver biopsy specimen data""]]"
Splenic hemorrhage: a complication of tissue plasminogen activator treatment.,"[[""tissue plasminogen activator"",""splenic hemorrhage""]]"
"When pilsicainide is prescribed in patients with coronary artery disease or renal dysfunction, close attention must be paid to avoid life-threatening arrhythmias due to high plasma concentrations of the drug.","[[""pilsicainide"",""heart rhythm""]]"
Various case reports concerning dapsone-induced agranulocytosis are reviewed.,"[[""dapsone"",""agranulocytosis""]]"
Paraplegia following intrathecal cytosine arabinoside.,"[[""cytosine arabinoside"",""paraplegia""]]"
"Until additional data are available, if intravenous acyclovir is administered concurrently with lithium, we recommend closely monitoring patients for signs of lithium toxicity and measuring serum lithium levels every second or third day.","[[""acyclovir"",""toxicity""], [""acyclovir"",""interaction with lithium""]]"
The Naranjo probability scale indicated a probable relationship between apnea and exposure to lamotrigine through breast-feeding in this infant.,"[[""lamotrigine"",""apnea""]]"
"Pulmonary hemorrhage is an uncommon feature in the HUS, and seems to appear especially in the HUS associated with MMC therapy.","[[""MMC"",""pulmonary hemorrhage""]]"
Acute hepatic failure is a rare and potentially lethal complication of propylthiouracil (PTU) use for hyperthyroidism.,"[[""propylthiouracil"",""acute hepatic failure""]]"
"The former patient had complained once that his visual acuity had decreased after the termination of IFN therapy, and the latter patient complained twice during IFN therapy that his visual acuity had decreased.","[[""inhibin a"",""increased visual acuity""]]"
"A 56-year-old male parkinsonian patient developed a unique behavioral change following the oral administration of cinepazide, a cerebral vasodilator.","[[""Cinepazide"",""oral administration""]]"
"Alternating sinus rhythm and intermittent sinoatrial (S-A) block was observed in a 57-year-old woman, under treatment for angina with 80 mg propranolol daily.","[[""Sinoatrial block""], [""Propranolol""], [""Sinoatrial block""], [""Propranolol""], [""Sinoatrial block""], [""Propranolol""], [""Sinoatrial block""]]"
A 60 year-old woman with chronic renal failure developed acute proximal muscle weakness after receiving a regular dosage of colchicine.,"[[""colchicine"",""acute proximal muscle weakness""]]"
Acute non-lymphocytic leukemia in patients with ovarian carcinoma following long-term treatment with Treosulfan (= dihydroxybusulfan).,"[[""Treosulfan"",""acute non-lymphocytic leukemia""]]"
We present the case of a 58-year-old woman who ingested more than 35 g of caffeine in a suicide attempt.,"[[""58-year-old woman"",""suicide attempt""]]"
"Argatroban is hepatically cleared and may be the preferred direct thrombin inhibitor in the presence of significant renal impairment, but conversely has prolonged effects in hepatic failure.","[[""Argatroban"",""hepatic failure""]]"
Cerebral and ocular toxicity induced by desferrioxamine.,"[[""desferrioxamine"",""cerebral toxicity""]]"
Cutaneous sarcoidosis during interferon alfa and ribavirin treatment of hepatitis C virus infection: two cases.,"[[""sarcoidosis""], [""interferon alfa""], [""ribavirin""]]"
Bronchiolitis obliterans organising pneumonia associated with the use of nitrofurantoin.,"[[""Bronchiolitis obliterans organising pneumonia""], [""nitrofurantoin""]]"
"To the best of our knowledge, this is the first case of lithium-associated CDI and NDI presenting concurrently.","[[""Lithium"",""Clinical dilated cardiomyopathy""], [""Lithium"",""Non-cardiac dilated cardiomyopathy""]]"
"FDE from cephalosporins has been rarely reported, and to the best of our knowledge there is no published report of ceftriaxone-induced FDE in the literature.","[[""ceftriaxone"",""Familial adenomatous polyposis""]]"
"Adverse effects of amiodarone including pulmonary toxicity, hepatotoxicity, aggravation of arrhythmia, and thyroid diseases are well understood.","[[""amiodarone"",""pulmonary toxicity""]]"
The literature is also reviewed for ARF associated with mannitol infusion in patients who received dialysis and those who did not receive dialysis; and the possible mechanism(s) of mannitol nephrotoxicity are discussed.,"[[""Acute renal failure""], [""Mannitol""], [""ARF""], [""Mannitol""], [""ARF""], [""Mannitol""], [""ARF""], [""Mannitol""], [""ARF""], [""Mannitol""], [""ARF""], [""Mannitol""], [""ARF""], [""Mannitol""], [""ARF""], [""Mannitol""], [""ARF""], [""Mannitol""], [""ARF""], [""Mannitol""], [""ARF""], [""Mannitol""], [""ARF""], [""Mannitol""], [""Mannitol""], [""ARF""], ["
A 73-year-old woman presented with fever and cough 2 weeks after completing the third cycle of fludarabine for chronic lymphocytic leukemia (CLL).,"[[""fludarabine"",""fever""]]"
Temozolomide-induced desquamative skin rash in a patient with metastatic melanoma.,"[[""temozolomide"",""desquamative skin rash""]]"
"Under the suspicion of amiodarone-induced acute pancreatitis, amiodarone was substituted by propafenone.","[[""amiodarone"",""acute pancreatitis""]]"
"Attempts were made to stop and then restart the theophylline therapy at progressively lower doses; however, with each attempt, the patient's reaction to the drug became more toxic, with serum theophylline levels ranging between 99.9 and 149.9 micromol/L (18 and 27 microg/mL).","[[""theophylline"",""serum theophylline levels""]]"
"The side effects of MMF, such as bone marrow toxicity, have been reported.","[[""MMF"",""bone marrow toxicity""]]"
Acute pulmonary reactions to nitrofurantoin are an uncommon side effect of therapy and can cause minor or life-threatening pulmonary dysfunction.,"[[""nitrofurantoin"",""acute pulmonary reactions""]]"
Temporary neurologic abnormalities were observed in one out of 23 patients undergoing chemotherapy with high-dose methotrexate (HD-MTX) for osteogenic sarcoma.,"[[""methotrexate"",""Temporary neurologic abnormalities""]]"
Hypersensitivity reaction following chloramphenicol administration in a patient with typhoid fever.,"[[""hypersensitivity reaction""], [""chloramphenicol""], [""typhoid fever""]]"
Perinatal vasoconstrictive renal insufficiency associated with maternal nimesulide use.,"[[""nimesulide"",""nephrotoxicity""]]"
"The administration of ""sweet spirits of nitre"" (4% ethyl nitrite CH3CH2ONO in 70% ethyl alcohol) was followed by acute methemoglobinemia and severe anoxic metabolic acidosis in infant twins, Methylene blue administration reversed methemoglobinemia in both, but one twin died from the consequences of hypoxemia.","[[""sweet spirits of nitre""], [""methylene blue""], [""hypoxia""]]"
Granulocytopenia and agranulocytosis are considered among the most dangerous adverse effects of clozapine.,"[[""clozapine"",""adverse effect""], [""clozapine"",""granulocytopenia""], [""clozapine"",""agranulocytosis""]]"
Papilledema without peripheral neuropathy in a patient taking perhexiline maleate.,"[[""papilledema""], [""perhexiline maleate""], [""peripheral neuropathy""]]"
RESULTS: Five of 70 patients who had begun leflunomide therapy had significant weight loss that could not be linked to other identifiable etiologies.,"[[""leflunomide"",""weight loss""]]"
PURPOSE: To describe the clinical and electrophysiological findings in a young boy with decreased vision possibly due to retinal damage by rifabutin.,"[[""rifabutin"",""decreased vision""]]"
"Ataxia caused by propafenone has been reported to the pharmaceutical companies and drug monitoring agencies, but has not been well described or emphasized in the medical literature.","[[""ataxia""], [""propafenone""], [""ataxia""], [""propafenone""], [""ataxia""], [""propafenone""], [""ataxia""], [""propafenone""], [""ataxia""], [""propafenone""], [""ataxia""], [""propafenone""], [""ataxia""], [""propafenone""], [""ataxia""], [""propafenone""], [""ataxia""], [""propafenone""], [""ataxia""], [""propafenone""], [""ataxia""], [""propafenone""], [""ataxia""], [""propafenone""], [""ataxia"""
"The cause of these previously unreported side effects of niacin therapy is uncertain but may be related to prostaglandin-mediated vasodilatation, hyperalgesia of sensory nerve receptors, and potentiation of inflammation in the gingiva with referral of pain to the teeth.","[[""niacin"",""side effects""]]"
"A case is reported in which severe hypocalcemia, with a low plasma parathyroid hormone (PTH) concentration, resulted from the therapeutic use of magnesium sulfate for toxemia of pregnancy.","[[""hypocalcemia""], [""magnesium sulfate""], [""parathyroid hormone""]]"
SLE receded after withdrawal of carbamazepine and treatment with anti-inflammatory drugs.,"[[""SLE"",""withdrawal of carbamazepine""]]"
"BACKGROUND: Cyanamide, an aversive agent widely used in Japan, is known to induce various degrees of hepatic lesion with ground-glass inclusion bodies.","[[""Cyanamide"",""aversive agent""]]"
Widespread cutaneous vasculitis associated with diltiazem.,"[[""diltiazem"",""vasculitis""]]"
Angioimmunoblastic lymphadenopathy with dysproteinemia following doxycycline administration.,"[[""doxycycline"",""angioimmunoblastic lymphadenopathy""]]"
"In a phase II study of hycanthone in patients with breast cancer we have recently observed severe hepatotoxicity, even at lower doses, which resulted in two drug-related deaths.","[[""hycanthone"",""hepatotoxicity""]]"
These novel findings may offer specific therapeutic targets in the treatment of BCNU-associated pulmonary fibrosis.,"[[""BCNU"",""pulmonary fibrosis""]]"
The biochemistry of paracetamol hepatotoxicity is outlined and the increased susceptibility of alcoholic patients to the hepatotoxic effects of paracetamol is remarked upon.,"[[""paracetamol"",""hepatotoxicity""]]"
"The possible effects of tamoxifen upon the uterus are discussed in this article, in view of reports of tamoxifen associated with endometrial carcinoma and endometriosis.","[[""tamoxifen"",""endometrial carcinoma""]]"
DISCUSSION: This case shows that switching to zidovudine potentially can lead to a hyperlactatemia relapse.,"[[""zidovudine"",""hyperlactatemia""]]"
Insulin-induced lipoatrophy in type I diabetes.,"[[""insulin-induced lipoatrophy""], [""insulin-induced lipoatrophy""], [""insulin-induced lipoatrophy""], [""insulin-induced lipoatrophy""], [""insulin-induced lipoatrophy""], [""insulin-induced lipoatrophy""], [""insulin-induced lipoatrophy""]]"
Allergic and irritant contact dermatitis to calcipotriol.,"[[""calcipotriol"",""allergy""]]"
We present a case of stroke after PPA ingestion that occurred 4 months after the recall in an 8-year-old boy on chronic peritoneal dialysis.,"[[""stroke"",""ingestion""]]"
Methotrexate induced sprue-like syndrome.,"[[""methotrexate"",""sprue-like syndrome""]]"
Severe abdominal pain in low dosage clofazimine.,"[[""clofazimine"",""abdominal pain""]]"
We observed 2 cases of hepatotoxicity after a high-dose methylprednisolone treatment of a demyelinating disease and evaluated the potential relationship in the light of available evidence.,"[[""methylprednisolone"",""hepatotoxicity""]]"
"A second possibility is an interaction between clarithromycin and isradipine, potentially increasing the hepatic toxicity of isradipine.","[[""clarithromycin"",""drug interaction""], [""isradipine"",""drug interaction""]]"
Immunosuppression elicited by the extensive administration of prednisolone was suspected for the initiation of the generalized mite infestation.,"[[""prednisolone"",""infection""]]"
This article describes a patient with suspected ciprofloxacin-induced interstitial nephritis.,"[[""ciprofloxacin"",""interstitial nephritis""]]"
"According to the Naranjo et al. adverse-reaction probability scale, enoxaparin was the probable cause of hepatotoxicity in this patient.","[[""enoxaparin"",""hepatotoxicity""]]"
"To our knowledge, we describe the first reported case of isolated paresthesia and peripheral neuropathy, without systemic involvement, secondary to sulindac administration.","[[""sulinac"",""side effect""]]"
Acute interstitial nephritis due to pantoprazole.,"[[""pantoprazole"",""acute interstitial nephritis""]]"
METHODS: We report a patient who had an anaphylactic reaction during the intravenous infusion of cyclosporine.,"[[""cyclosporine"",""infusion""]]"
We report a case of AILD in an 80-year-old male who presented with a generalized pruritic maculopapular eruption and fever following doxycycline administration.,"[[""AILD"",""doxycycline""]]"
Suxamethonium apnoea terminated with commercial serumcholinesterase.,"[[""Suxamethonium"",""apnoea""]]"
Seven patients with hematologic malignancies who were treated with miconazole for either suspected or proven fungal infections developed eight episodes of major adverse cardiorespiratory and anaphylactic reactions.,"[[""miconazole"",""hematologic malignancies""]]"
"DISCUSSION: Patients with 5-FU-induced ectropion experience tender, red, scaled lids, making contact lens wear difficult.","[[""5-FU"",""eyelid inflammation""]]"
"We report for the first time the development of symptomatic methemoglobinemia after an acute ingestion of divalproex sodium (Depakote), resulting in serum concentrations 10 times greater than the therapeutic range.","[[""methemoglobinemia""], [""divalproex sodium""], [""methemoglobinemia""], [""divalproex sodium""], [""symptomatic methemoglobinemia""]]"
"We report the specifics of 12 cases of severe hypertension after the intraoperative use of topical phenylephrine, submucosal epinephrine, or both.","[[""hypertension""], [""phenylephrine""], [""epinephrine""]]"
This article presents a case of an atypical localized cutaneous eruption with an unusual course and protracted resolution time associated with sorafenib therapy.,"[[""sorafenib"",""atypical localized cutaneous eruption""]]"
Oesophageal ulceration due to emepronium bromide.,"[[""emepronium bromide"",""drug interaction""]]"
We describe a patient with metastatic prostate cancer who developed nonoliguric renal failure during treatment with suramin.,"[[""suramin"",""nephrotoxicity""]]"
"As linezolid has been shown to have hematologic side effects, blood count monitoring is recommended in patients receiving this drug for long-term therapy.","[[""linezolid"",""blood count""]]"
Clofibrate-induced myopathy in patients with diabetes insipidus.,"[[""Clovibrate"",""myopathy""]]"
Cutaneous eruptions occur in 3% of individuals administered carbamazepine.,"[[""carbamazepine"",""cutaneous eruptions""]]"
"Two patients treated for chronic myeloid leukemia with high doses of CCNU (1100 mg/m2 and 1240 mg/m2, respectively) developed a fatal pulmonary fibrosis.","[[""CCNU"",""pulmonary fibrosis""]]"
Extensive immunological investigations were performed in a patient with definite seronegative rheumatoid arthritis who developed hypogammaglobulinemia in the course of gold therapy.,"[[""rheumatoid arthritis""], [""hypogammaglobulinemia""], [""gold""], [""rheumatoid arthritis""], [""hypogammaglobulinemia""]]"
The present case is the first report of hypercalcemia induced by vitamin D3 ointment and thiazide simultaneously.,"[[""hypercalcemia""], [""thiazide""], [""vitamin D3 ointment""]]"
Bleomycin pneumonitis potentiated by oxygen administration.,"[[""Bleomycin"",""pneumonitis""]]"
"Anticonvulsant hypersensitivity syndrome associated with Bellamine S, a therapy for menopausal symptoms.","[[""Bellamine S"",""anticonvulsant hypersensitivity syndrome""]]"
"Both had impaired lung function and abnormal computed tomographic scans, and their condition improved when nitrofurantoin was withdrawn and corticosteroid treatment commenced.","[[""nitrofurantoin"",""pulmonary toxicity""]]"
"We suggest that sarcoidosis may develop in chronic hepatitis C patients during interferon alpha and/or ribavirin treatment, and diagnostic tests for this adverse effect should be performed during the follow-ups.","[[""sarcoidosis""], [""interferon alpha""], [""ribavirin""]]"
Two patients are described who developed testicular swelling and pain during treatment with desipramine.,"[[""desipramine"",""swelling and pain""]]"
Interferon-alpha (IFN-alpha) may precipitate or exacerbate the occurrence of MPGN.,"[[""Interferon-alpha"",""precipitation or exacerbated occurrence of MPGN""]]"
"Theoretical basal ganglia toxicologic mechanisms of methanol poisoning are reviewed, and the role of brain imaging studies will regard to diagnosis, prognosis and impact on management is discussed.","[[""methanol"",""toxicologic mechanism""]]"
The addition of intrathecal methotrexate to treatment protocols has increased survival rates in children with acute lymphoblastic leukemia but is also associated with varying degrees of neurotoxicity.,"[[""methotrexate"",""intrathecal""]]"
"Acetazolamide may have accelerated the development of osteomalacia by several mechanisms, including increased renal calcium excretion.","[[""Acetazolamide"",""renal calcium excretion""]]"
Chronic fentanyl application induces adrenocortical insufficiency.,"[[""fentanyl"",""adrenocortical insufficiency""]]"
We describe four patients who had seizures while receiving ofloxacin; no other causes were evident.,"[[""ofloxacin"",""seizures""]]"
PURPOSE: To report that acute lamotrigine poisoning may result in severe encephalopathy.,"[[""lamotrigine"",""acute poisoning""]]"
This paper reports an autopsy case of a 78-year-old male with multiple nodules in the liver developed after long-termed administration of phosphate diethylstilbestrol (PDES) for prostatic cancer.,"[[""multiple nodules in the liver""], [""phosphate diethylstilbestrol""], [""multiple nodules in the liver""], [""78-year-old male""]]"
A young diamond dealer developed visual impairment attributed to bilateral posterior subcapsular cataracts following only four courses of intermittent Decadron used as part of a five-drug antiemetic regimen for cisplatin-associated nausea.,"[[""Decadron"",""visual impairment""]]"
over the past 3 years there have been several reports of uveitis associated with rifabutin therapy.,"[[""rifabutin"",""uveitis""]]"
This was accepted as evidence for propranolol being the cause of this conduction disorder.,"[[""propranolol"",""cardiotoxicity""]]"
Erosion of psoriatic plaques: an early sign of methotrexate toxicity.,"[[""methotrexate"",""psoriatic plaques""]]"
We present the first case of WES in an infant born to a mother taking haloperidol during her pregnancy.,"[[""Western equine encephalitis""], [""Haloperidol""], [""Western equine encephalitis""], [""Haloperidol""], [""Western equine encephalitis""], [""Haloperidol""], [""Western equine encephalitis""]]"
The evidence of high plasmatic levels of CBZ and the absence of other aetiologic factors lead the authors to conclude that the overdose of CBZ could have represented the precipitating of the episode of acute pancreatitis.,"[[""CBZ"",""acute pancreatitis""]]"
Multicentric hepatocellular carcinoma following phosphate diethylstilbestrol therapy for prostatic cancer.,"[[""Multicentric hepatocellular carcinoma""], [""Diethylstilbestrol""], [""Multicentric hepatocellular carcinoma""], [""Diethylstilbestrol""], [""Multicentric hepatocellular carcinoma""], [""Diethylstilbestrol""], [""Multicentric hepatocellular carcinoma""]]"
The autopsy findings and a detailed medical history supported the conclusion that clozapine-induced hypersensitivity myocarditis was the most likely cause of death.,"[[""clozapine"",""hypersensitivity myocarditis""]]"
Treatment of chronic hepatitis C with interferon alpha (IFN-alpha) is relatively contraindicated in patients with psychiatric disorders because of possible severe psychiatric side effects.,"[[""Interferon alpha"",""psychiatric disorder""]]"
Serotonin syndrome induced by transitioning from phenelzine to venlafaxine: four patient reports.,"[[""phenelzine"",""serotonin syndrome""]]"
"We report 3 patients with severe hepatocellular damage due to CPA therapy, 2 with fatal fulminant hepatitis.","[[""fulminant hepatitis""]]"
METHOD: The authors followed a patient with chronic HCV who received interferon and ribavirin and who developed hallucinations ultimately requiring psychiatric hospitalization.,"[[""interferon"",""psychiatric hospitalization""]]"
"Fatal lung fibrosis caused by paclitaxel toxicity has not been reported In this report, we describe the case of a 62-year-old woman who received six cycles of paclitaxel and carboplatin as combination chemotherapy for advanced ovarian cancer.","[[""paclitaxel"",""lung fibrosis""]]"
Angioedema and dysphagia caused by contact allergy to inhaled budesonide.,"[[""budesonide"",""contact allergy""]]"
This report describes a case of neuroleptic malignant syndrome due to risperidone in a child with Joubert syndrome.,"[[""risperidone"",""neuroleptic malignant syndrome""]]"
The disease predisposes to severe vincristine neurotoxicity.,"[[""Vincristine"",""neurotoxicity""]]"
We describe a case of EGE manifested as an allergy to gemfibrozil.,"[[""gemfibrozil"",""allergy""]]"
Sulfadiazine crystalluria revisited.,"[[""Sulfadiazine"",""crystalluria""]]"
Prolongation of the QT interval observed in a Japanese patient with vivax malaria following treatment with halofantrine.,"[[""halofantrine"",""QT interval""]]"
Intracranial hemorrhage and focal seizures secondary to use of L-asparaginase during induction therapy of acute lymphocytic leukemia.,"[[""L-asparaginase"",""induction therapy""]]"
"We report an 82-year-old man who developed ventricular tachycardia and Torsades de Pointes (TdP) after oral administration of garenoxacin, a novel quinolone antibiotic agent that differs from the third-generation quinolones, for pneumonia.","[[""garenoxacin"",""ventricular tachycardia""]]"
Physicians should be aware of the potential for the development of RS among children who are receiving long-term aspirin therapy for the treatment of systemic inflammatory illnesses.,"[[""Rheumatic fever""], [""aspirin""], [""Rheumatic fever""], [""systemic inflammatory illness""]]"
"To our knowledge, this is the first report of insulin-induced lipohypertrophy with detailed histological examinations.","[[""insulin-induced lipohypertrophy""], [""insulin-induced lipohypertrophy""], [""insulin-induced lipohypertrophy""], [""insulin-induced lipohypertrophy""], [""insulin-induced lipohypertrophy""]]"
"IV propranolol was used as the initial treatment for his hyperadrenergic state, resulting in a decrease in heart rate but a paroxsymal increase in blood pressure.","[[""hyperadrenergic state""], [""hyperadrenergic state""], [""hyperadrenergic state""], [""hyperadrenergic state""], [""hyperadrenergic state""], [""hyperadrenergic state""], [""hyperadrenergic state""], [""hyperadrenergic state""], [""hyperadrenergic state""], [""hyperadrenergic state""], [""hyperadrenergic state""], [""hyperadrenergic state""], [""hyperadrenergic state""], [""hyperadrenergic state""], [""hyperadrenergic state""], [""hyperadrenergic state""], [""hyperadrenergic state""], [""hyperadrenergic state""],"
"Methamphetamine's extensive physiologic effects, inconsistent street purity, and multiple routes of administration offer many possibilities for injury to the cornea.","[[""methamphetamine"",""injury to the cornea""]]"
Acute coronary syndromes complicating the first infusion of rituximab.,"[[""rituximab"",""acute coronary syndromes""]]"
Acute myocardial necrosis during administration of amsacrine.,"[[""asacrine"",""cardiotoxicity""]]"
"Vancomycin is widely used against methicillin-resistant Staphylococcus aureus infections, but it is associated with many adverse effects such as nephrotoxicity, ototoxicity, gastrointestinal disturbances, blood disorders, and two types of hypersensitivity reactions - an anaphylactoid reaction known as ""red man syndrome"" and anaphylaxis.","[[""Vancomycin"",""hypersensitivity reaction""]]"
"Its overall toxicity is considerably less compared to standard induction chemotherapy; however, it is associated with a high incidence of a potentially fatal symptom complex referred to as ""retinoic acid syndrome."" This report describes a patient with APL who developed the syndrome a few weeks after initiating induction therapy with ATRA despite being treated for hyperleukocytosis.","[[""ATRA"",""hyperleukocytosis""]]"
OBJECTIVE: To describe a patient with ifosfamide-induced nonconvulsive status epilepticus.,"[[""ifosfamide"",""nonconvulsive status epilepticus""]]"
Erythropoietin is beneficial in mitomycin-induced hemolytic-uremic syndrome.,"[[""mitomycin"",""erythropoietin""]]"
"Failure of plasmapheresis, corticosteroids and thionamides to ameliorate a case of protracted amiodarone-induced thyroiditis.","[[""amiodarone"",""thyroiditis""]]"
Alternating sinus rhythm and intermittent sinoatrial block induced by propranolol.,"[[""alternating sinus rhythm""], [""intermittent sinoatrial block""], [""propranolol""]]"
"Despite the underlying hepatitis C, this case represents renal abnormalities consistent with IFNalpha therapy for CML.","[[""IFNalpha"",""renal abnormalities""]]"
The observations suggest that testicular swelling and pain are side effects of desipramine.,"[[""desipramine"",""side effect"",""testicular swelling and pain""]]"
This article describes the case of a 25-year-old man found dead at home who had been prescribed olanzapine for schizophrenia.,"[[""olanzapine"",""suicide""]]"
Peripheral nervous system disturbances caused by cytosine arabinoside have rarely been reported.,"[[""cytosine arabinoside"",""nervous system disturbances""]]"
"A case of anaphylactoid reaction due solely to the use of Gelofusine in a patient with non-haemorrhagic hypovolaemia is presented, with a discussion on the management and the use of allergy identification jewellery.","[[""Gelofusine"",""allergy identification jewellery""]]"
L-Thyroxine-induced leukopenia in a patient with Hashimoto's disease: involvement of suppressor-cytotoxic T cells.,"[[""L-thyroxine"",""leukopenia""]]"
Management and successful desensitization in methotrexate-induced anaphylaxis.,"[[""methotrexate"",""anaphylaxis""]]"
Prior neurologic illness and the syndrome of irreversible lithium-effectuated neurotoxicity (SILENT).,"[[""Silent"",""previous neurologic illness""]]"
A patient with the Wolff-Parkinson-White syndrome presented with incessant orthodromic atrioventricular tachycardia following initiation of procainamide therapy.,"[[""Wolff-Parkinson-White syndrome""], [""procainamide""], [""incessant orthodromic atrioventricular tachycardia""]]"
"Two cases of lepromatous leprosy with erythema nodosum leprosum who were on high doses of clofazimine, showed discoloration of nail plate, subungual hyperkeratosis and onycholysis.","[[""clofazimine"",""discoloration of nail plate""]]"
"To our knowledge, our report is one of the first on shock and angio-oedema from irbesartan.","[[""irbesartan"",""shock""]]"
"Only two case reports of adults with allergic contact dermatitis to this chemical exist in the literature, and we describe three more cases of children with recalcitrant atopic dermatitis found to have potential allergic contact dermatitis to bisabolol- a component of the Aquaphor emollient they were using to treat their atopic dermatitis.","[[""Aquaphor"",""allergy""]]"
A case of halothane induced hepatitis is reported in a middle aged woman who underwent gastric surgery for morbid obesity.,"[[""halothane"",""induces hepatitis""]]"
Administration of steroid and decreasing the dose of PTU produced a good clinical response and the ANCA disappeared.,"[[""ANCA"",""disappears""]]"
Visual system side effects caused by parasympathetic dysfunction after botulinum toxin type B injections.,"[[""botulinum toxin type b"",""parasympathetic dysfunction""]]"
Type II heparin-induced thrombocytopenia (HIT) is an immunological disorder characterized by antibodies to heparin-platelet factor 4 complexes and a high risk of thrombotic complications.,"[[""heparin-induced thrombocytopenia""], [""type II""], [""antibodies to heparin-platelet factor 4 complexes""]]"
Acute psychosis associated with levetiracetam.,"[[""levetiracetam"",""acute psychosis""]]"
Bleomycin and cyclophosphamide toxicity simulating metastatic nodules to the lungs in childhood cancer.,"[[""Bleomycin"",""toxicity""], [""Bleomycin"",""metastasis""]]"
Bisphosphonate-related osteonecrosis of the skull base.,"[[""bisphosphonate"",""osteonecrosis of the skull base""]]"
Ifosfamide-associated neurotoxicity was noted within hours of drug administration and improved rapidly following hemodialysis.,"[[""Ifosfamide"",""neurotoxicity""]]"
"Despite a hematologic response in all 3 patients, none of them achieved cytogenetic remission, and all progressed to blast crisis at 7 to 10 months of imatinib therapy.","[[""blast crisis"",""achieved""]]"
"However, recurrent staphylococcus aureus sepsis developed during CyA therapy.","[[""Staphylococcus aureus"",""sepsis""]]"
Fulminant hepatitis with severe lactate acidosis in HIV-infected patients on didanosine therapy.,"[[""didanosine"",""fulminant hepatitis""]]"
OBJECTIVE: This case report outlines a significant type of morbidity due to continued use of gabapentin during an episode of acute renal failure.,"[[""gabapentin"",""acute renal failure""]]"
Scleroderma in association with the use of bleomycin: a report of 3 cases.,"[[""bleomycin"",""scleroderma""]]"
We report an unusual case of massive fluoxetine ingestion resulting in neurological and cardiovascular toxicity resulting in death.,"[[""fluoxetine"",""ingestion""]]"
Upper gastrointestinal haemorrhage is a serious complication of aspirin and clopidogrel (dual) anti-platelet therapy with a high morbidity and mortality.,"[[""aspirin and clopidogrel (dual) anti-platelet therapy""], [""upper gastrointestinal haemorrhage""]]"
Transtentorial herniation caused by an intracranial mass lesion following high-dose methotrexate.,"[[""methotrexate"",""transtentorial herniation""]]"
We describe a patient in whom noncardiogenic pulmonary edema developed during intrabiliary infusion of monooctanoin.,"[[""monooctanoin"",""noncardiogenic pulmonary edema""]]"
Iatrogenic Cushing syndrome after epidural triamcinolone injections in an HIV type 1-infected patient receiving therapy with ritonavir-lopinavir.,"[[""ritonavir-lopinavir"",""Cushing syndrome""]]"
"This fourth type of cutaneous minocycline hyperpigmentation may be a variant of Type I, but based on clinical, pathological and microanalytical differences, appears to be a new entity.","[[""minocycline"",""hyperpigmentation""]]"
"Comparable adverse effects, such as disorientation and temporary amnesia, have been reported in patients in the analogous agent, propranolol.","[[""disorientation""], [""propranolol""], [""adriamycin""], [""synovial sarcoma""]]"
A 10-year-old asthmatic boy began to suffer from urticarial rash and moderately severe bronchospasm after 8 weeks' treatment with disodium cromoglycate.,"[[""disodium cromoglycate"",""asthma""]]"
Sustained-release procainamide-induced reversible granulocytopenia after myocardial infarction.,"[[""procainamide"",""granulocytopenia""]]"
We report on a young adolescent with benign intracranial hypertension which we attribute to the use of minocycline for acne.,"[[""minocycline"",""acne""]]"
